senderTs,senderMbps,receiverTs,receiverMbps
125.0,0.0,125.0,0.0
126.0,0.0,126.0,0.0
127.0,0.521,127.0,0.0
128.0,0.0,128.0,0.0
129.0,0.521,129.0,0.0
130.0,0.521,130.0,0.0
131.0,0.521,131.0,0.0
132.0,0.521,132.0,0.0463
133.0,0.0,133.0,0.0
134.0,0.0,134.0,0.0
135.0,0.0,135.0,0.0
136.0,0.0,136.0,0.0116
137.0,0.0,137.0,0.371
138.0,0.0,138.0,0.313
139.0,0.0,139.0,0.313
140.0,0.0,140.0,0.29
141.0,0.0,141.0,0.359
142.0,0.0,142.0,0.29
143.0,0.0,143.0,0.266
144.0,0.0,144.0,0.22
145.0,0.0,145.0,0.278
146.0,0.521,146.0,0.324
147.0,0.0,147.0,0.348
148.0,0.0,148.0,0.324
149.0,0.0,149.0,0.255
150.0,0.0,150.0,0.104
151.0,0.521,151.0,0.116
152.0,0.0,152.0,0.104
153.0,0.521,153.0,0.104
154.0,0.0,154.0,0.104
155.0,0.521,155.0,0.0
156.0,0.521,156.0,0.0
157.0,0.521,157.0,0.0
158.0,0.0,158.0,0.0
159.0,0.521,159.0,0.0
160.0,0.0,160.0,0.0
161.0,0.521,161.0,0.0116
162.0,0.521,162.0,0.0348
163.0,0.0,163.0,0.0
164.0,0.0,164.0,0.0
165.0,0.0,165.0,0.0
166.0,0.0,166.0,0.0
167.0,0.0,167.0,0.0
168.0,0.0,168.0,0.0
169.0,0.0,169.0,0.394
170.0,0.0,170.0,0.44
171.0,0.0,171.0,0.452
172.0,0.0,172.0,0.405
173.0,0.0,173.0,0.394
174.0,0.0,174.0,0.104
175.0,0.0,175.0,0.0
176.0,0.0,176.0,0.0
177.0,0.0,177.0,0.0116
178.0,0.0,178.0,0.278
179.0,0.0,179.0,0.313
180.0,0.0,180.0,0.266
181.0,0.0,181.0,0.371
182.0,0.0,182.0,0.371
183.0,0.0,183.0,0.324
184.0,0.0,184.0,0.371
185.0,0.0,185.0,0.359
186.0,0.0,186.0,0.278
187.0,0.0,187.0,0.313
188.0,0.0,188.0,0.371
189.0,0.0,189.0,0.579
190.0,0.521,190.0,0.174
191.0,1.04,191.0,0.0
192.0,0.521,192.0,0.0
193.0,1.04,193.0,0.0
194.0,1.04,194.0,0.0
195.0,0.0,195.0,0.0
196.0,0.521,196.0,0.0
197.0,0.0,197.0,0.0
198.0,0.521,198.0,0.0
199.0,0.521,199.0,0.0
200.0,0.521,200.0,0.0463
201.0,0.0,201.0,0.0
202.0,0.0,202.0,0.0
203.0,0.0,203.0,0.0
204.0,0.0,204.0,0.0
205.0,0.0,205.0,0.0
206.0,0.0,206.0,0.0
207.0,0.0,207.0,0.0
208.0,0.0,208.0,0.0
209.0,0.0,209.0,0.0
210.0,0.0,210.0,0.0
211.0,0.0,211.0,0.209
212.0,0.0,212.0,0.382
213.0,0.0,213.0,0.371
214.0,0.0,214.0,0.371
215.0,0.0,215.0,0.348
216.0,0.0,216.0,0.348
217.0,0.0,217.0,0.348
218.0,0.0,218.0,0.382
219.0,0.0,219.0,0.371
220.0,0.0,220.0,0.359
221.0,0.0,221.0,0.359
222.0,0.0,222.0,0.301
223.0,0.0,223.0,0.0
224.0,0.0,224.0,0.0
225.0,0.0,225.0,0.0
226.0,0.0,226.0,0.0
227.0,0.0,227.0,0.0
228.0,2.61,228.0,0.0
229.0,1.56,229.0,0.0463
230.0,0.0,230.0,0.0
231.0,0.0,231.0,0.0
232.0,0.0,232.0,0.0
233.0,0.0,233.0,0.0
234.0,0.0,234.0,0.348
235.0,0.0,235.0,0.626
236.0,0.0,236.0,0.649
237.0,0.0,237.0,0.579
238.0,0.0,238.0,0.614
239.0,0.0,239.0,0.614
240.0,0.0,240.0,0.556
241.0,0.0,241.0,0.498
242.0,0.0,242.0,0.348
243.0,0.0,243.0,0.336
244.0,0.0,244.0,0.278
245.0,0.0,245.0,0.301
246.0,0.0,246.0,0.301
247.0,0.0,247.0,0.162
248.0,0.0,248.0,0.0927
249.0,0.0,249.0,0.0
250.0,0.0,250.0,0.0
251.0,0.0,251.0,0.0
252.0,2.09,252.0,0.0
253.0,1.04,253.0,0.0
254.0,0.521,254.0,0.0
255.0,1.04,255.0,0.0
256.0,1.04,256.0,0.0
257.0,0.521,257.0,0.0
258.0,0.0,258.0,0.0
259.0,0.0,259.0,0.0116
260.0,0.0,260.0,0.0348
261.0,0.0,261.0,0.0
262.0,0.0,262.0,0.0
263.0,0.0,263.0,0.0
264.0,0.0,264.0,0.0
265.0,0.0,265.0,0.266
266.0,0.0,266.0,0.417
267.0,0.0,267.0,0.405
268.0,0.0,268.0,0.394
269.0,0.0,269.0,0.394
270.0,0.0,270.0,0.29
271.0,0.0,271.0,0.359
272.0,0.0,272.0,0.359
273.0,0.0,273.0,0.313
274.0,0.0,274.0,0.348
275.0,0.0,275.0,0.405
276.0,0.0,276.0,0.336
277.0,1.04,277.0,0.336
278.0,0.521,278.0,0.324
279.0,0.0,279.0,0.313
280.0,0.521,280.0,0.336
281.0,0.521,281.0,0.336
282.0,0.521,282.0,0.0579
283.0,0.0,283.0,0.0
284.0,0.521,284.0,0.0
285.0,0.521,285.0,0.0
286.0,0.521,286.0,0.0
287.0,0.0,287.0,0.0
288.0,0.521,288.0,0.0
289.0,0.0,289.0,0.0
290.0,0.521,290.0,0.0
291.0,0.0,291.0,0.0
292.0,0.521,292.0,0.0463
293.0,0.0,293.0,0.0
294.0,0.0,294.0,0.0
295.0,0.0,295.0,0.0
296.0,0.0,296.0,0.0
297.0,0.0,297.0,0.0
298.0,0.0,298.0,0.185
299.0,0.0,299.0,0.405
300.0,0.0,300.0,0.324
301.0,0.0,301.0,0.348
302.0,0.0,302.0,0.324
303.0,0.0,303.0,0.324
304.0,0.0,304.0,0.324
305.0,0.0,305.0,0.359
306.0,0.0,306.0,0.348
307.0,0.0,307.0,0.336
308.0,0.0,308.0,0.348
309.0,0.0,309.0,0.336
310.0,0.0,310.0,0.139
311.0,0.0,311.0,0.0
312.0,0.0,312.0,0.0
313.0,0.521,313.0,0.0
314.0,0.521,314.0,0.0
315.0,1.04,315.0,0.0
316.0,0.521,316.0,0.0
317.0,0.521,317.0,0.0
318.0,0.0,318.0,0.0
319.0,0.521,319.0,0.0
320.0,0.521,320.0,0.0116
321.0,0.0,321.0,0.0348
322.0,0.0,322.0,0.0
323.0,0.0,323.0,0.0
324.0,0.0,324.0,0.0
325.0,0.0,325.0,0.0
326.0,0.0,326.0,0.0
327.0,0.0,327.0,0.0
328.0,0.0,328.0,0.0
329.0,0.0,329.0,0.104
330.0,0.0,330.0,0.405
331.0,0.0,331.0,0.29
332.0,0.0,332.0,0.266
333.0,0.0,333.0,0.255
334.0,0.0,334.0,0.255
335.0,0.0,335.0,0.266
336.0,0.0,336.0,0.278
337.0,0.0,337.0,0.266
338.0,0.0,338.0,0.278
339.0,0.0,339.0,0.266
340.0,0.0,340.0,0.452
341.0,0.0,341.0,0.544
342.0,0.0,342.0,0.498
343.0,0.0,343.0,0.51
344.0,0.0,344.0,0.487
345.0,0.0,345.0,0.174
346.0,0.0,346.0,0.0
347.0,0.0,347.0,0.0
348.0,0.521,348.0,0.0
349.0,0.521,349.0,0.0
350.0,0.521,350.0,0.0
351.0,1.04,351.0,0.0
352.0,0.521,352.0,0.0
353.0,1.04,353.0,0.0
354.0,0.521,354.0,0.0
355.0,1.04,355.0,0.0232
356.0,0.0,356.0,0.0232
357.0,0.0,357.0,0.0
358.0,0.0,358.0,0.0
359.0,0.0,359.0,0.0
360.0,0.0,360.0,0.0
361.0,0.0,361.0,0.0
362.0,0.0,362.0,0.0
363.0,0.0,363.0,0.0
364.0,0.0,364.0,0.0116
365.0,0.0,365.0,0.301
366.0,0.0,366.0,0.348
367.0,0.0,367.0,0.336
368.0,0.0,368.0,0.348
369.0,0.0,369.0,0.301
370.0,0.0,370.0,0.243
371.0,0.0,371.0,0.197
372.0,0.0,372.0,0.174
373.0,0.0,373.0,0.185
374.0,0.0,374.0,0.174
375.0,0.0,375.0,0.174
376.0,0.0,376.0,0.174
377.0,0.0,377.0,0.185
378.0,0.0,378.0,0.174
379.0,0.0,379.0,0.151
380.0,0.0,380.0,0.127
381.0,0.0,381.0,0.209
382.0,0.0,382.0,0.209
383.0,0.0,383.0,0.197
384.0,0.0,384.0,0.243
385.0,0.521,385.0,0.324
386.0,0.521,386.0,0.452
387.0,0.0,387.0,0.498
388.0,1.04,388.0,0.521
389.0,0.521,389.0,0.382
390.0,2.09,390.0,0.0
391.0,1.04,391.0,0.0463
392.0,1.04,392.0,0.0
393.0,0.0,393.0,0.0116
394.0,0.0,394.0,0.301
395.0,0.0,395.0,0.336
396.0,0.0,396.0,0.359
397.0,0.0,397.0,0.29
398.0,0.0,398.0,0.278
399.0,0.0,399.0,0.29
400.0,0.0,400.0,0.301
401.0,0.0,401.0,0.232
402.0,0.0,402.0,0.232
403.0,0.0,403.0,0.22
404.0,0.0,404.0,0.22
405.0,0.521,405.0,0.0463
406.0,0.0,406.0,0.0
407.0,0.521,407.0,0.0
408.0,0.521,408.0,0.0
409.0,0.0,409.0,0.0
410.0,1.04,410.0,0.0463
411.0,0.521,411.0,0.0
412.0,0.0,412.0,0.197
413.0,0.0,413.0,0.417
414.0,0.0,414.0,0.382
415.0,0.0,415.0,0.371
416.0,0.0,416.0,0.429
417.0,0.0,417.0,0.429
418.0,0.0,418.0,0.301
419.0,0.0,419.0,0.255
420.0,0.0,420.0,0.22
421.0,0.521,421.0,0.232
422.0,0.0,422.0,0.0348
423.0,0.521,423.0,0.0
424.0,0.521,424.0,0.0
425.0,0.0,425.0,0.0
426.0,0.521,426.0,0.0
427.0,0.0,427.0,0.0
428.0,0.0,428.0,0.0
429.0,0.0,429.0,0.0
430.0,0.521,430.0,0.0
431.0,0.0,431.0,0.0
432.0,0.0,432.0,0.0
433.0,0.521,433.0,0.0463
434.0,0.0,434.0,0.0
435.0,0.0,435.0,0.0
436.0,0.0,436.0,0.0
437.0,0.0,437.0,0.0
438.0,0.0,438.0,0.0
439.0,0.0,439.0,0.0
440.0,0.0,440.0,0.0116
441.0,0.0,441.0,0.382
442.0,0.0,442.0,0.324
443.0,0.0,443.0,0.255
444.0,0.0,444.0,0.209
445.0,0.0,445.0,0.22
446.0,0.0,446.0,0.209
447.0,0.0,447.0,0.209
448.0,0.0,448.0,0.22
449.0,0.0,449.0,0.209
450.0,0.0,450.0,0.197
451.0,0.0,451.0,0.209
452.0,0.0,452.0,0.185
453.0,0.0,453.0,0.197
454.0,0.0,454.0,0.22
455.0,0.0,455.0,0.209
456.0,0.0,456.0,0.313
457.0,0.0,457.0,0.348
458.0,0.0,458.0,0.0116
459.0,0.0,459.0,0.0
460.0,0.0,460.0,0.0
461.0,0.521,461.0,0.0
462.0,0.0,462.0,0.0
463.0,0.521,463.0,0.0
464.0,0.0,464.0,0.0
465.0,0.521,465.0,0.0
466.0,0.0,466.0,0.0
467.0,0.521,467.0,0.0
468.0,1.04,468.0,0.0
469.0,0.521,469.0,0.0
470.0,0.521,470.0,0.0463
471.0,0.0,471.0,0.0
472.0,0.0,472.0,0.0
473.0,0.0,473.0,0.0232
474.0,0.0,474.0,0.382
475.0,0.0,475.0,0.371
476.0,0.521,476.0,0.336
477.0,0.0,477.0,0.301
478.0,0.0,478.0,0.313
479.0,0.521,479.0,0.313
480.0,0.0,480.0,0.313
481.0,0.521,481.0,0.185
482.0,0.0,482.0,0.209
483.0,0.521,483.0,0.266
484.0,0.0,484.0,0.162
485.0,0.0,485.0,0.185
486.0,0.521,486.0,0.0927
487.0,0.521,487.0,0.0
488.0,0.0,488.0,0.0
489.0,0.521,489.0,0.0
490.0,0.0,490.0,0.0
491.0,0.0,491.0,0.0
492.0,0.0,492.0,0.0463
493.0,0.0,493.0,0.0
494.0,0.0,494.0,0.0
495.0,0.0,495.0,0.0
496.0,0.0,496.0,0.0116
497.0,0.0,497.0,0.452
498.0,0.0,498.0,0.463
499.0,0.0,499.0,0.475
500.0,0.0,500.0,0.394
501.0,0.0,501.0,0.359
502.0,0.0,502.0,0.348
503.0,0.0,503.0,0.348
504.0,0.0,504.0,0.301
505.0,0.0,505.0,0.394
506.0,0.0,506.0,0.44
507.0,0.0,507.0,0.51
508.0,0.521,508.0,0.0
509.0,0.521,509.0,0.0
510.0,0.521,510.0,0.0
511.0,0.521,511.0,0.0
512.0,1.04,512.0,0.0116
513.0,1.04,513.0,0.0348
514.0,0.0,514.0,0.278
515.0,0.521,515.0,0.382
516.0,0.0,516.0,0.255
517.0,0.0,517.0,0.139
518.0,0.521,518.0,0.0927
519.0,0.0,519.0,0.0927
520.0,0.0,520.0,0.104
521.0,0.0,521.0,0.0116
522.0,0.0,522.0,0.0232
523.0,0.0,523.0,0.0463
524.0,0.0,524.0,0.0695
525.0,0.0,525.0,0.0232
526.0,0.521,526.0,0.0695
527.0,0.0,527.0,0.0695
528.0,0.0,528.0,0.0116
529.0,0.0,529.0,0.0
530.0,0.0,530.0,0.0
531.0,0.0,531.0,0.0
532.0,0.0,532.0,0.0
533.0,0.0,533.0,0.0
534.0,0.521,534.0,0.0463
535.0,0.0,535.0,0.151
536.0,0.0,536.0,0.429
537.0,0.0,537.0,0.429
538.0,0.521,538.0,0.359
539.0,0.521,539.0,0.313
540.0,0.0,540.0,0.266
541.0,0.521,541.0,0.266
542.0,0.0,542.0,0.266
543.0,0.521,543.0,0.255
544.0,0.0,544.0,0.209
545.0,0.521,545.0,0.232
546.0,0.521,546.0,0.243
547.0,0.0,547.0,0.0463
548.0,0.0,548.0,0.0232
549.0,0.0,549.0,0.29
550.0,0.0,550.0,0.278
551.0,0.0,551.0,0.232
552.0,0.0,552.0,0.278
553.0,0.521,553.0,0.336
554.0,0.0,554.0,0.174
555.0,0.0,555.0,0.185
556.0,0.521,556.0,0.209
557.0,0.0,557.0,0.197
558.0,0.521,558.0,0.0579
559.0,0.0,559.0,0.0
560.0,0.521,560.0,0.0
561.0,0.521,561.0,0.0116
562.0,0.0,562.0,0.0348
563.0,0.0,563.0,0.0116
564.0,0.0,564.0,0.336
565.0,0.0,565.0,0.255
566.0,0.0,566.0,0.301
567.0,0.0,567.0,0.278
568.0,0.0,568.0,0.255
569.0,0.0,569.0,0.232
570.0,0.0,570.0,0.116
571.0,0.521,571.0,0.0232
572.0,0.0,572.0,0.0
573.0,0.0,573.0,0.0348
574.0,0.0,574.0,0.22
575.0,0.521,575.0,0.174
576.0,0.0,576.0,0.209
577.0,0.0,577.0,0.0
578.0,0.0,578.0,0.0
579.0,0.521,579.0,0.0
580.0,0.521,580.0,0.0348
581.0,0.521,581.0,0.0116
582.0,0.0,582.0,0.0
583.0,0.0,583.0,0.0811
584.0,0.0,584.0,0.313
585.0,0.0,585.0,0.336
586.0,0.0,586.0,0.324
587.0,0.0,587.0,0.255
588.0,0.0,588.0,0.209
589.0,0.0,589.0,0.174
590.0,0.0,590.0,0.209
591.0,0.0,591.0,0.255
592.0,0.521,592.0,0.22
593.0,0.0,593.0,0.232
594.0,0.0,594.0,0.197
595.0,0.0,595.0,0.22
596.0,0.521,596.0,0.0579
597.0,0.521,597.0,0.0
598.0,0.521,598.0,0.0
599.0,0.0,599.0,0.0
600.0,0.521,600.0,0.0
601.0,0.521,601.0,0.0348
602.0,0.0,602.0,0.0116
603.0,0.0,603.0,0.0
604.0,0.0,604.0,0.0
605.0,0.0,605.0,0.162
606.0,0.0,606.0,0.174
607.0,0.0,607.0,0.197
608.0,0.0,608.0,0.185
609.0,0.0,609.0,0.185
610.0,0.0,610.0,0.185
611.0,0.0,611.0,0.185
612.0,0.0,612.0,0.255
613.0,0.0,613.0,0.232
614.0,0.0,614.0,0.301
615.0,0.0,615.0,0.0811
616.0,0.0,616.0,0.0
617.0,0.0,617.0,0.0
618.0,0.0,618.0,0.0
619.0,0.0,619.0,0.0
620.0,0.0,620.0,0.0
621.0,0.0,621.0,0.0
622.0,0.521,622.0,0.0
623.0,0.521,623.0,0.0
624.0,0.0,624.0,0.0
625.0,0.521,625.0,0.0463
626.0,0.521,626.0,0.0
627.0,0.0,627.0,0.0348
628.0,0.0,628.0,0.209
629.0,0.0,629.0,0.209
630.0,0.0,630.0,0.209
631.0,0.0,631.0,0.209
632.0,0.0,632.0,0.22
633.0,0.0,633.0,0.174
634.0,0.0,634.0,0.127
635.0,0.0,635.0,0.0927
636.0,0.0,636.0,0.0927
637.0,0.0,637.0,0.116
638.0,0.0,638.0,0.162
639.0,0.521,639.0,0.151
640.0,0.0,640.0,0.0
641.0,0.0,641.0,0.0
642.0,0.521,642.0,0.0
643.0,0.0,643.0,0.0
644.0,0.521,644.0,0.0
645.0,0.521,645.0,0.0
646.0,0.0,646.0,0.0463
647.0,0.0,647.0,0.0
648.0,0.0,648.0,0.0
649.0,0.0,649.0,0.0116
650.0,0.0,650.0,0.209
651.0,0.0,651.0,0.209
652.0,0.0,652.0,0.197
653.0,0.0,653.0,0.22
654.0,0.0,654.0,0.139
655.0,0.0,655.0,0.185
656.0,0.0,656.0,0.255
657.0,0.0,657.0,0.255
658.0,0.0,658.0,0.232
659.0,0.0,659.0,0.0811
660.0,0.0,660.0,0.0
661.0,0.0,661.0,0.0
662.0,0.0,662.0,0.0
663.0,0.521,663.0,0.0
664.0,0.0,664.0,0.0
665.0,0.521,665.0,0.0
666.0,0.0,666.0,0.0
667.0,0.521,667.0,0.0
668.0,0.0,668.0,0.0116
669.0,0.521,669.0,0.0348
670.0,0.0,670.0,0.0
671.0,0.0,671.0,0.0
672.0,0.0,672.0,0.0
673.0,0.0,673.0,0.0
674.0,0.0,674.0,0.127
675.0,0.0,675.0,0.162
676.0,0.0,676.0,0.162
677.0,0.0,677.0,0.151
678.0,0.0,678.0,0.162
679.0,0.0,679.0,0.162
680.0,0.0,680.0,0.162
681.0,0.0,681.0,0.151
682.0,0.0,682.0,0.151
683.0,0.0,683.0,0.151
684.0,0.521,684.0,0.174
685.0,0.521,685.0,0.139
686.0,0.0,686.0,0.0811
687.0,0.0,687.0,0.0695
688.0,0.0,688.0,0.0811
689.0,0.0,689.0,0.0695
690.0,0.0,690.0,0.0695
691.0,0.0,691.0,0.0811
692.0,0.0,692.0,0.0811
693.0,0.0,693.0,0.0927
694.0,0.0,694.0,0.104
695.0,0.0,695.0,0.116
696.0,0.0,696.0,0.139
697.0,0.521,697.0,0.104
698.0,0.0,698.0,0.0579
699.0,0.0,699.0,0.0463
700.0,0.0,700.0,0.0348
701.0,0.0,701.0,0.0
702.0,0.521,702.0,0.0
703.0,0.521,703.0,0.0
704.0,0.0,704.0,0.0463
705.0,0.521,705.0,0.0
706.0,0.0,706.0,0.0348
707.0,0.0,707.0,0.127
708.0,0.0,708.0,0.0927
709.0,0.0,709.0,0.0927
710.0,0.0,710.0,0.0927
711.0,0.0,711.0,0.0811
712.0,0.0,712.0,0.0348
713.0,0.0,713.0,0.0232
714.0,0.0,714.0,0.0811
715.0,0.0,715.0,0.0463
716.0,0.0,716.0,0.174
717.0,0.521,717.0,0.116
718.0,0.0,718.0,0.0927
719.0,0.521,719.0,0.139
720.0,0.0,720.0,0.174
721.0,0.0,721.0,0.162
722.0,0.0,722.0,0.104
723.0,0.521,723.0,0.162
724.0,0.0,724.0,0.174
725.0,0.0,725.0,0.185
726.0,0.521,726.0,0.116
727.0,0.0,727.0,0.0695
728.0,0.0,728.0,0.116
729.0,0.0,729.0,0.0348
730.0,0.0,730.0,0.0
731.0,0.0,731.0,0.0232
732.0,0.521,732.0,0.0232
733.0,0.0,733.0,0.0232
734.0,0.0,734.0,0.174
735.0,0.0,735.0,0.151
736.0,0.0,736.0,0.162
737.0,0.0,737.0,0.174
738.0,0.0,738.0,0.197
739.0,0.0,739.0,0.209
740.0,0.0,740.0,0.162
741.0,0.521,741.0,0.174
742.0,0.521,742.0,0.151
743.0,0.0,743.0,0.139
744.0,0.0,744.0,0.151
745.0,0.0,745.0,0.139
746.0,0.0,746.0,0.197
747.0,0.0,747.0,0.151
748.0,0.0,748.0,0.0927
749.0,0.521,749.0,0.0927
750.0,0.0,750.0,0.0695
751.0,0.0,751.0,0.0695
752.0,0.0,752.0,0.0463
753.0,0.521,753.0,0.0695
754.0,0.0,754.0,0.0463
755.0,0.0,755.0,0.0811
756.0,0.0,756.0,0.0
757.0,0.521,757.0,0.0
758.0,0.0,758.0,0.0116
759.0,0.0,759.0,0.0463
760.0,0.0,760.0,0.151
761.0,0.0,761.0,0.174
762.0,0.521,762.0,0.174
763.0,0.0,763.0,0.185
764.0,0.0,764.0,0.127
765.0,0.0,765.0,0.104
766.0,0.0,766.0,0.104
767.0,0.521,767.0,0.0695
768.0,0.0,768.0,0.0695
769.0,0.0,769.0,0.0927
770.0,0.0,770.0,0.0695
771.0,0.0,771.0,0.0348
772.0,0.0,772.0,0.0
773.0,0.521,773.0,0.0
774.0,0.0,774.0,0.0
775.0,0.0,775.0,0.0116
776.0,0.0,776.0,0.0348
777.0,0.0,777.0,0.0
778.0,0.0,778.0,0.0116
779.0,0.0,779.0,0.151
780.0,0.0,780.0,0.127
781.0,0.0,781.0,0.139
782.0,0.0,782.0,0.0927
783.0,0.0,783.0,0.104
784.0,0.0,784.0,0.0927
785.0,0.521,785.0,0.116
786.0,0.0,786.0,0.174
787.0,0.0,787.0,0.0927
788.0,0.0,788.0,0.0463
789.0,0.0,789.0,0.116
790.0,0.0,790.0,0.116
791.0,0.521,791.0,0.0116
792.0,0.0,792.0,0.0463
793.0,0.521,793.0,0.127
794.0,0.0,794.0,0.139
795.0,0.0,795.0,0.151
796.0,0.0,796.0,0.139
797.0,0.521,797.0,0.116
798.0,0.0,798.0,0.0927
799.0,0.0,799.0,0.116
800.0,0.0,800.0,0.0927
801.0,0.521,801.0,0.0811
802.0,0.0,802.0,0.0579
803.0,0.0,803.0,0.0463
804.0,0.0,804.0,0.0232
805.0,0.0,805.0,0.0463
806.0,0.0,806.0,0.127
807.0,0.0,807.0,0.174
808.0,0.0,808.0,0.139
809.0,0.521,809.0,0.0927
810.0,0.0,810.0,0.127
811.0,0.0,811.0,0.116
812.0,0.0,812.0,0.127
813.0,0.0,813.0,0.0927
814.0,0.0,814.0,0.0927
815.0,0.0,815.0,0.0811
816.0,0.0,816.0,0.0811
817.0,0.521,817.0,0.104
818.0,0.0,818.0,0.0
819.0,0.0,819.0,0.0
820.0,0.0,820.0,0.0
821.0,0.521,821.0,0.0
822.0,0.0,822.0,0.0116
823.0,0.0,823.0,0.0348
824.0,0.0,824.0,0.0
825.0,0.0,825.0,0.127
826.0,0.0,826.0,0.174
827.0,0.521,827.0,0.301
828.0,0.0,828.0,0.209
829.0,0.0,829.0,0.197
830.0,0.0,830.0,0.197
831.0,0.521,831.0,0.139
832.0,0.0,832.0,0.104
833.0,0.0,833.0,0.104
834.0,0.0,834.0,0.116
835.0,0.0,835.0,0.0695
836.0,0.0,836.0,0.151
837.0,0.0,837.0,0.139
838.0,0.521,838.0,0.0695
839.0,0.0,839.0,0.0348
840.0,0.0,840.0,0.0
841.0,0.521,841.0,0.0
842.0,0.0,842.0,0.0
843.0,0.0,843.0,0.0463
844.0,0.0,844.0,0.0
845.0,0.0,845.0,0.0116
846.0,0.0,846.0,0.174
847.0,0.0,847.0,0.185
848.0,0.0,848.0,0.22
849.0,0.0,849.0,0.232
850.0,0.0,850.0,0.162
851.0,0.521,851.0,0.151
852.0,0.0,852.0,0.185
853.0,0.0,853.0,0.185
854.0,0.0,854.0,0.197
855.0,0.0,855.0,0.162
856.0,0.521,856.0,0.174
857.0,0.0,857.0,0.151
858.0,0.0,858.0,0.0927
859.0,0.0,859.0,0.0811
860.0,0.521,860.0,0.0
861.0,0.0,861.0,0.0
862.0,0.0,862.0,0.0
