senderTs,senderMbps,receiverTs,receiverMbps
411.0,0.521,411.0,0.209
412.0,0.0,412.0,0.232
413.0,0.0,413.0,0.162
414.0,0.0,414.0,0.127
415.0,0.0,415.0,0.0
416.0,0.521,416.0,0.0
417.0,0.0,417.0,0.0
418.0,0.0,418.0,0.0
419.0,0.521,419.0,0.0
420.0,0.0,420.0,0.0
421.0,0.521,421.0,0.0
422.0,0.0,422.0,0.0
423.0,0.521,423.0,0.0
424.0,0.0,424.0,0.0
425.0,0.0,425.0,0.0
426.0,0.521,426.0,0.0
427.0,0.0,427.0,0.0
428.0,0.521,428.0,0.0232
429.0,0.0,429.0,0.0232
430.0,0.0,430.0,0.0
431.0,0.0,431.0,0.0
432.0,0.0,432.0,0.0
433.0,0.0,433.0,0.0
434.0,0.0,434.0,0.0
435.0,0.0,435.0,0.0
436.0,0.0,436.0,0.0
437.0,0.0,437.0,0.0
438.0,0.0,438.0,0.0
439.0,0.0,439.0,0.174
440.0,0.0,440.0,0.185
441.0,0.0,441.0,0.185
442.0,0.0,442.0,0.278
443.0,0.0,443.0,0.243
444.0,0.0,444.0,0.266
445.0,0.0,445.0,0.232
446.0,0.0,446.0,0.278
447.0,0.0,447.0,0.29
448.0,0.0,448.0,0.255
449.0,0.0,449.0,0.324
450.0,0.0,450.0,0.243
451.0,0.0,451.0,0.278
452.0,0.0,452.0,0.278
453.0,0.0,453.0,0.371
454.0,0.0,454.0,0.452
455.0,0.0,455.0,0.371
456.0,0.0,456.0,0.278
457.0,0.0,457.0,0.278
458.0,0.0,458.0,0.0348
459.0,0.0,459.0,0.0
460.0,0.0,460.0,0.0
461.0,0.0,461.0,0.0
462.0,0.521,462.0,0.0
463.0,0.521,463.0,0.0
464.0,0.521,464.0,0.0
465.0,0.521,465.0,0.0
466.0,0.521,466.0,0.0
467.0,0.521,467.0,0.0463
468.0,1.04,468.0,0.0
469.0,1.04,469.0,0.0
470.0,0.521,470.0,0.0
471.0,0.0,471.0,0.0
472.0,0.0,472.0,0.0
473.0,0.0,473.0,0.0
474.0,0.0,474.0,0.0
475.0,0.0,475.0,0.0
476.0,0.0,476.0,0.0
477.0,0.0,477.0,0.0
478.0,0.0,478.0,0.0
479.0,0.0,479.0,0.22
480.0,0.0,480.0,0.255
481.0,0.0,481.0,0.266
482.0,0.0,482.0,0.255
483.0,0.0,483.0,0.266
484.0,0.0,484.0,0.29
485.0,0.0,485.0,0.313
486.0,0.0,486.0,0.324
487.0,0.0,487.0,0.22
488.0,0.0,488.0,0.22
489.0,0.0,489.0,0.209
490.0,0.0,490.0,0.22
491.0,0.0,491.0,0.348
492.0,0.0,492.0,0.475
493.0,0.0,493.0,0.278
494.0,0.0,494.0,0.266
495.0,0.0,495.0,0.232
496.0,0.0,496.0,0.255
497.0,0.0,497.0,0.185
498.0,0.0,498.0,0.0
499.0,0.0,499.0,0.0
500.0,0.0,500.0,0.0
501.0,0.0,501.0,0.0
502.0,0.0,502.0,0.0348
503.0,0.0,503.0,0.0116
504.0,3.13,504.0,0.0
505.0,1.56,505.0,0.0
506.0,0.0,506.0,0.0
507.0,0.0,507.0,0.0811
508.0,0.0,508.0,0.139
509.0,0.0,509.0,0.127
510.0,0.0,510.0,0.151
511.0,0.0,511.0,0.209
512.0,0.0,512.0,0.197
513.0,0.0,513.0,0.209
514.0,0.0,514.0,0.278
515.0,0.0,515.0,0.301
516.0,0.0,516.0,0.255
517.0,0.0,517.0,0.255
518.0,0.0,518.0,0.255
519.0,0.0,519.0,0.151
520.0,0.0,520.0,0.0
521.0,0.0,521.0,0.0
522.0,0.0,522.0,0.0
523.0,0.0,523.0,0.0
524.0,0.0,524.0,0.0
525.0,0.0,525.0,0.0
526.0,1.04,526.0,0.0463
527.0,1.04,527.0,0.0
528.0,0.521,528.0,0.0
529.0,0.521,529.0,0.0
530.0,0.0,530.0,0.0
531.0,0.0,531.0,0.0
532.0,0.0,532.0,0.0
533.0,0.0,533.0,0.0
534.0,0.0,534.0,0.0
535.0,0.0,535.0,0.0
536.0,0.0,536.0,0.0463
537.0,0.0,537.0,0.185
538.0,0.0,538.0,0.162
539.0,0.0,539.0,0.185
540.0,0.0,540.0,0.151
541.0,0.0,541.0,0.197
542.0,0.0,542.0,0.185
543.0,0.0,543.0,0.185
544.0,0.0,544.0,0.197
545.0,0.0,545.0,0.22
546.0,0.0,546.0,0.243
547.0,0.0,547.0,0.278
548.0,0.0,548.0,0.278
549.0,0.0,549.0,0.278
550.0,0.0,550.0,0.324
551.0,0.0,551.0,0.359
552.0,0.0,552.0,0.29
553.0,0.0,553.0,0.278
554.0,0.0,554.0,0.29
555.0,0.0,555.0,0.278
556.0,0.0,556.0,0.313
557.0,0.521,557.0,0.324
558.0,0.0,558.0,0.487
559.0,0.0,559.0,0.174
560.0,0.521,560.0,0.0
561.0,0.521,561.0,0.0
562.0,0.521,562.0,0.0
563.0,0.0,563.0,0.0
564.0,0.521,564.0,0.0
565.0,0.521,565.0,0.0
566.0,0.521,566.0,0.0
567.0,0.521,567.0,0.0116
568.0,1.04,568.0,0.0348
569.0,0.521,569.0,0.0116
570.0,0.0,570.0,0.232
571.0,0.0,571.0,0.301
572.0,0.0,572.0,0.232
573.0,0.0,573.0,0.139
574.0,0.0,574.0,0.174
575.0,0.0,575.0,0.232
576.0,0.0,576.0,0.0927
577.0,0.0,577.0,0.209
578.0,0.0,578.0,0.0927
579.0,0.0,579.0,0.0927
580.0,0.521,580.0,0.162
581.0,0.0,581.0,0.185
582.0,0.0,582.0,0.151
583.0,0.521,583.0,0.0
584.0,0.0,584.0,0.0
585.0,0.0,585.0,0.0
586.0,0.0,586.0,0.0
587.0,0.521,587.0,0.0
588.0,0.0,588.0,0.0
589.0,0.521,589.0,0.0
590.0,0.0,590.0,0.0
591.0,0.0,591.0,0.0463
592.0,0.0,592.0,0.0
593.0,0.0,593.0,0.0
594.0,0.0,594.0,0.0
595.0,0.0,595.0,0.0
596.0,0.0,596.0,0.0
597.0,0.0,597.0,0.0
598.0,0.0,598.0,0.0
599.0,0.0,599.0,0.0
600.0,0.0,600.0,0.0
601.0,0.0,601.0,0.209
602.0,0.0,602.0,0.44
603.0,0.0,603.0,0.371
604.0,0.0,604.0,0.266
605.0,0.0,605.0,0.243
606.0,0.0,606.0,0.22
607.0,0.0,607.0,0.22
608.0,0.0,608.0,0.232
609.0,1.04,609.0,0.209
610.0,0.0,610.0,0.185
611.0,0.0,611.0,0.209
612.0,0.0,612.0,0.174
613.0,0.0,613.0,0.209
614.0,0.0,614.0,0.197
615.0,0.0,615.0,0.197
616.0,0.521,616.0,0.266
617.0,0.0,617.0,0.232
618.0,0.0,618.0,0.209
619.0,0.521,619.0,0.104
620.0,0.521,620.0,0.0
621.0,0.0,621.0,0.0
622.0,0.521,622.0,0.0
623.0,0.0,623.0,0.0
624.0,0.521,624.0,0.0
625.0,0.521,625.0,0.0
626.0,0.0,626.0,0.0463
627.0,0.521,627.0,0.0
628.0,0.0,628.0,0.0
629.0,0.0,629.0,0.0
630.0,0.0,630.0,0.0
631.0,0.0,631.0,0.0
632.0,0.0,632.0,0.0463
633.0,0.0,633.0,0.197
634.0,0.0,634.0,0.22
635.0,0.0,635.0,0.209
636.0,0.0,636.0,0.209
637.0,0.0,637.0,0.22
638.0,0.0,638.0,0.255
639.0,0.0,639.0,0.232
640.0,0.0,640.0,0.324
641.0,0.0,641.0,0.452
642.0,0.0,642.0,0.324
643.0,0.0,643.0,0.127
644.0,0.0,644.0,0.0
645.0,0.0,645.0,0.0
646.0,0.0,646.0,0.0
647.0,0.0,647.0,0.0
648.0,0.0,648.0,0.0
649.0,0.521,649.0,0.0
650.0,0.0,650.0,0.0
651.0,0.521,651.0,0.0
652.0,0.521,652.0,0.0232
653.0,0.521,653.0,0.0232
654.0,0.521,654.0,0.0
655.0,0.0,655.0,0.0
656.0,0.0,656.0,0.0
657.0,0.0,657.0,0.0
658.0,0.0,658.0,0.127
659.0,0.0,659.0,0.209
660.0,0.0,660.0,0.232
661.0,0.0,661.0,0.266
662.0,0.0,662.0,0.243
663.0,0.0,663.0,0.232
664.0,0.521,664.0,0.243
665.0,0.0,665.0,0.22
666.0,0.0,666.0,0.162
667.0,0.0,667.0,0.127
668.0,0.0,668.0,0.104
669.0,0.521,669.0,0.127
670.0,0.0,670.0,0.151
671.0,0.0,671.0,0.162
672.0,0.0,672.0,0.0695
673.0,0.0,673.0,0.0695
674.0,0.0,674.0,0.0927
675.0,0.521,675.0,0.0
676.0,0.0,676.0,0.0
677.0,0.0,677.0,0.0
678.0,0.0,678.0,0.0
679.0,0.0,679.0,0.0
680.0,0.521,680.0,0.0
681.0,0.521,681.0,0.0116
682.0,0.0,682.0,0.0348
683.0,0.521,683.0,0.0811
684.0,0.0,684.0,0.151
685.0,0.0,685.0,0.139
686.0,0.0,686.0,0.116
687.0,0.0,687.0,0.0811
688.0,0.0,688.0,0.104
689.0,0.521,689.0,0.0348
690.0,0.0,690.0,0.0695
691.0,0.0,691.0,0.0579
692.0,0.0,692.0,0.0579
693.0,0.0,693.0,0.0348
694.0,0.0,694.0,0.0463
695.0,0.0,695.0,0.0348
696.0,0.0,696.0,0.0
697.0,0.521,697.0,0.0
698.0,0.0,698.0,0.0232
699.0,0.0,699.0,0.0232
700.0,0.0,700.0,0.0
701.0,0.0,701.0,0.0232
702.0,0.0,702.0,0.22
703.0,0.0,703.0,0.232
704.0,0.0,704.0,0.232
705.0,0.0,705.0,0.162
706.0,0.0,706.0,0.139
707.0,0.0,707.0,0.139
708.0,0.0,708.0,0.139
709.0,0.0,709.0,0.127
710.0,0.0,710.0,0.151
711.0,0.0,711.0,0.151
712.0,0.0,712.0,0.185
713.0,0.0,713.0,0.174
714.0,0.521,714.0,0.151
715.0,0.0,715.0,0.0927
716.0,0.0,716.0,0.0579
717.0,0.0,717.0,0.0695
718.0,0.521,718.0,0.174
719.0,0.521,719.0,0.104
720.0,0.0,720.0,0.0
721.0,0.0,721.0,0.0
722.0,0.521,722.0,0.0
723.0,0.0,723.0,0.0
724.0,0.0,724.0,0.0463
725.0,0.0,725.0,0.0
726.0,0.521,726.0,0.0232
727.0,0.0,727.0,0.197
728.0,0.0,728.0,0.209
729.0,0.0,729.0,0.197
730.0,0.521,730.0,0.255
731.0,0.0,731.0,0.266
732.0,0.0,732.0,0.29
733.0,0.521,733.0,0.255
734.0,0.0,734.0,0.185
735.0,0.0,735.0,0.151
736.0,0.521,736.0,0.151
737.0,0.0,737.0,0.0811
738.0,0.0,738.0,0.0232
739.0,0.0,739.0,0.0
740.0,0.0,740.0,0.0
741.0,0.521,741.0,0.0
742.0,0.0,742.0,0.0
743.0,0.0,743.0,0.0232
744.0,0.0,744.0,0.0116
745.0,0.521,745.0,0.0116
746.0,0.0,746.0,0.0
747.0,0.0,747.0,0.0
748.0,0.0,748.0,0.0
749.0,0.0,749.0,0.0
750.0,0.0,750.0,0.0
751.0,0.0,751.0,0.0116
752.0,0.0,752.0,0.232
753.0,0.0,753.0,0.22
754.0,0.0,754.0,0.197
755.0,0.0,755.0,0.209
756.0,0.0,756.0,0.197
757.0,0.0,757.0,0.232
758.0,0.0,758.0,0.255
759.0,0.0,759.0,0.243
760.0,0.521,760.0,0.185
761.0,0.521,761.0,0.197
762.0,0.0,762.0,0.185
763.0,0.0,763.0,0.162
764.0,0.0,764.0,0.139
765.0,0.0,765.0,0.185
766.0,0.0,766.0,0.22
767.0,0.0,767.0,0.348
768.0,0.0,768.0,0.359
769.0,0.521,769.0,0.139
770.0,0.0,770.0,0.127
771.0,0.0,771.0,0.116
772.0,0.521,772.0,0.104
773.0,0.0,773.0,0.0
774.0,0.521,774.0,0.0
775.0,0.521,775.0,0.0
776.0,0.521,776.0,0.0
777.0,0.0,777.0,0.0
778.0,0.0,778.0,0.0
779.0,0.0,779.0,0.0463
780.0,0.521,780.0,0.0
781.0,0.0,781.0,0.0
782.0,0.0,782.0,0.0
783.0,0.0,783.0,0.0
784.0,0.0,784.0,0.0
785.0,0.0,785.0,0.0348
786.0,0.0,786.0,0.22
787.0,0.0,787.0,0.197
788.0,0.0,788.0,0.174
789.0,0.0,789.0,0.243
790.0,0.0,790.0,0.278
791.0,0.0,791.0,0.313
792.0,0.0,792.0,0.301
793.0,0.0,793.0,0.22
794.0,0.0,794.0,0.174
795.0,0.0,795.0,0.209
796.0,0.0,796.0,0.209
797.0,0.0,797.0,0.209
798.0,0.0,798.0,0.266
799.0,0.0,799.0,0.278
800.0,0.0,800.0,0.255
801.0,0.0,801.0,0.243
802.0,0.0,802.0,0.301
803.0,0.521,803.0,0.429
804.0,0.0,804.0,0.0
805.0,1.04,805.0,0.0
806.0,0.521,806.0,0.0
807.0,1.56,807.0,0.0463
808.0,1.04,808.0,0.0463
809.0,0.0,809.0,0.22
810.0,0.0,810.0,0.209
811.0,0.0,811.0,0.197
812.0,0.0,812.0,0.266
813.0,0.0,813.0,0.243
814.0,0.0,814.0,0.266
815.0,0.0,815.0,0.301
816.0,0.0,816.0,0.255
817.0,0.521,817.0,0.29
818.0,0.0,818.0,0.255
819.0,0.0,819.0,0.266
820.0,0.521,820.0,0.185
821.0,0.0,821.0,0.0
822.0,0.521,822.0,0.0
823.0,0.0,823.0,0.0232
824.0,0.521,824.0,0.0232
825.0,0.521,825.0,0.0
826.0,0.521,826.0,0.174
827.0,0.0,827.0,0.197
828.0,0.0,828.0,0.162
829.0,0.0,829.0,0.162
830.0,0.0,830.0,0.197
831.0,0.0,831.0,0.185
832.0,0.0,832.0,0.197
833.0,0.0,833.0,0.174
834.0,0.0,834.0,0.185
835.0,0.0,835.0,0.162
836.0,0.0,836.0,0.162
837.0,0.0,837.0,0.197
838.0,0.0,838.0,0.139
839.0,0.0,839.0,0.116
840.0,0.521,840.0,0.127
841.0,0.0,841.0,0.0
842.0,0.521,842.0,0.0116
843.0,0.521,843.0,0.0348
844.0,0.521,844.0,0.0463
845.0,0.521,845.0,0.162
846.0,0.0,846.0,0.209
847.0,0.0,847.0,0.197
848.0,0.0,848.0,0.139
849.0,0.0,849.0,0.104
850.0,0.0,850.0,0.127
851.0,0.0,851.0,0.116
852.0,0.521,852.0,0.127
853.0,0.0,853.0,0.162
854.0,0.0,854.0,0.0811
855.0,0.0,855.0,0.0579
856.0,0.0,856.0,0.0695
857.0,0.521,857.0,0.0
858.0,0.0,858.0,0.0
859.0,0.0,859.0,0.0
860.0,0.0,860.0,0.0463
861.0,0.521,861.0,0.0
862.0,0.0,862.0,0.0
863.0,0.0,863.0,0.139
864.0,0.0,864.0,0.209
