senderTs,senderMbps,receiverTs,receiverMbps
225.0,0.0,225.0,0.0
226.0,0.0,226.0,0.0579
227.0,0.0,227.0,0.0695
228.0,0.0,228.0,0.0463
229.0,0.0,229.0,0.0463
230.0,0.0,230.0,0.0579
231.0,0.0,231.0,0.0695
232.0,0.0,232.0,0.0927
233.0,0.0,233.0,0.162
234.0,0.0,234.0,0.197
235.0,0.0,235.0,0.185
236.0,0.0,236.0,0.104
237.0,0.0,237.0,0.139
238.0,0.0,238.0,0.104
239.0,0.0,239.0,0.139
240.0,0.0,240.0,0.151
241.0,0.0,241.0,0.266
242.0,0.0,242.0,0.255
243.0,0.521,243.0,0.382
244.0,0.0,244.0,0.0695
245.0,1.04,245.0,0.0
246.0,1.04,246.0,0.0
247.0,0.0,247.0,0.0
248.0,0.0,248.0,0.0
249.0,0.0,249.0,0.0
250.0,0.0,250.0,0.0
251.0,0.0,251.0,0.0116
252.0,0.0,252.0,0.0348
253.0,0.0,253.0,0.0
254.0,0.0,254.0,0.0
255.0,0.0,255.0,0.0
256.0,0.0,256.0,0.0348
257.0,0.0,257.0,0.104
258.0,0.0,258.0,0.104
259.0,0.0,259.0,0.116
260.0,0.0,260.0,0.116
261.0,0.0,261.0,0.116
262.0,0.0,262.0,0.0927
263.0,0.0,263.0,0.0579
264.0,0.0,264.0,0.0463
265.0,0.0,265.0,0.0232
266.0,0.0,266.0,0.0463
267.0,0.0,267.0,0.0695
268.0,0.0,268.0,0.127
269.0,0.0,269.0,0.139
270.0,0.0,270.0,0.162
271.0,0.521,271.0,0.22
272.0,0.0,272.0,0.127
273.0,0.521,273.0,0.452
274.0,0.521,274.0,0.232
275.0,0.0,275.0,0.162
276.0,0.521,276.0,0.151
277.0,0.0,277.0,0.0579
278.0,0.0,278.0,0.0
279.0,0.0,279.0,0.0
280.0,0.521,280.0,0.0
281.0,0.0,281.0,0.0
282.0,0.0,282.0,0.0463
283.0,0.0,283.0,0.0
284.0,0.0,284.0,0.0
285.0,0.0,285.0,0.0
286.0,0.0,286.0,0.0
287.0,0.0,287.0,0.0
288.0,0.0,288.0,0.0927
289.0,0.0,289.0,0.0927
290.0,0.0,290.0,0.0695
291.0,0.0,291.0,0.0695
292.0,0.0,292.0,0.0463
293.0,0.0,293.0,0.0463
294.0,0.0,294.0,0.0811
295.0,0.0,295.0,0.0579
296.0,0.0,296.0,0.0695
297.0,0.0,297.0,0.0695
298.0,0.0,298.0,0.116
299.0,0.0,299.0,0.0927
300.0,0.0,300.0,0.139
301.0,0.0,301.0,0.116
302.0,0.0,302.0,0.22
303.0,0.0,303.0,0.197
304.0,0.0,304.0,0.197
305.0,0.0,305.0,0.0
306.0,0.521,306.0,0.0
307.0,0.521,307.0,0.0
308.0,0.521,308.0,0.0
309.0,0.0,309.0,0.0
310.0,0.0,310.0,0.0
311.0,0.0,311.0,0.0
312.0,0.0,312.0,0.0
313.0,0.0,313.0,0.0
314.0,0.0,314.0,0.0463
315.0,0.0,315.0,0.0
316.0,0.0,316.0,0.0
317.0,0.0,317.0,0.0
318.0,0.0,318.0,0.0
319.0,0.0,319.0,0.0
320.0,0.0,320.0,0.0
321.0,0.0,321.0,0.0
322.0,0.0,322.0,0.0
323.0,0.0,323.0,0.0
324.0,0.0,324.0,0.0
325.0,0.0,325.0,0.0
326.0,0.0,326.0,0.0348
327.0,0.0,327.0,0.174
328.0,0.0,328.0,0.127
329.0,0.0,329.0,0.116
330.0,0.0,330.0,0.0579
331.0,0.0,331.0,0.0927
332.0,0.0,332.0,0.139
333.0,0.0,333.0,0.209
334.0,0.0,334.0,0.209
335.0,0.0,335.0,0.151
336.0,0.0,336.0,0.0
337.0,0.0,337.0,0.0116
338.0,0.0,338.0,0.0
339.0,0.0,339.0,0.0
340.0,0.0,340.0,0.0
341.0,0.521,341.0,0.0
342.0,0.521,342.0,0.0
343.0,0.521,343.0,0.0463
344.0,0.0,344.0,0.0232
345.0,0.0,345.0,0.162
346.0,0.0,346.0,0.174
347.0,0.521,347.0,0.185
348.0,0.0,348.0,0.174
349.0,0.0,349.0,0.151
350.0,0.521,350.0,0.151
351.0,0.0,351.0,0.0811
352.0,0.0,352.0,0.0811
353.0,0.0,353.0,0.0579
354.0,0.0,354.0,0.0695
355.0,0.0,355.0,0.0579
356.0,0.0,356.0,0.0
357.0,0.0,357.0,0.0
358.0,0.0,358.0,0.0
359.0,0.0,359.0,0.0
360.0,0.521,360.0,0.0
361.0,0.0,361.0,0.0232
362.0,0.0,362.0,0.0232
363.0,0.0,363.0,0.0
364.0,0.0,364.0,0.0
365.0,0.0,365.0,0.0
366.0,0.0,366.0,0.0
367.0,0.0,367.0,0.0
368.0,0.0,368.0,0.0
369.0,0.0,369.0,0.0
370.0,0.0,370.0,0.0
371.0,0.0,371.0,0.0
372.0,0.0,372.0,0.0
373.0,0.0,373.0,0.0
374.0,0.0,374.0,0.0
375.0,0.0,375.0,0.0579
376.0,0.0,376.0,0.162
377.0,0.0,377.0,0.22
378.0,0.0,378.0,0.278
379.0,0.0,379.0,0.29
380.0,0.0,380.0,0.278
381.0,0.521,381.0,0.382
382.0,0.0,382.0,0.232
383.0,0.0,383.0,0.22
384.0,0.0,384.0,0.22
385.0,0.521,385.0,0.22
386.0,0.0,386.0,0.22
387.0,0.0,387.0,0.174
388.0,0.521,388.0,0.139
389.0,0.0,389.0,0.116
390.0,0.521,390.0,0.116
391.0,0.0,391.0,0.116
392.0,0.0,392.0,0.127
393.0,0.0,393.0,0.127
394.0,0.0,394.0,0.139
395.0,0.0,395.0,0.0927
396.0,0.0,396.0,0.116
397.0,0.521,397.0,0.104
398.0,0.521,398.0,0.127
399.0,0.521,399.0,0.0811
400.0,0.0,400.0,0.0
401.0,0.0,401.0,0.0
402.0,0.0,402.0,0.0
403.0,0.0,403.0,0.0
404.0,0.521,404.0,0.0
405.0,0.0,405.0,0.0
406.0,0.0,406.0,0.0116
407.0,0.0,407.0,0.0348
408.0,0.0,408.0,0.0
409.0,0.0,409.0,0.0
410.0,0.0,410.0,0.0
411.0,0.0,411.0,0.0
412.0,0.0,412.0,0.0348
413.0,0.0,413.0,0.174
414.0,0.0,414.0,0.22
415.0,0.0,415.0,0.185
416.0,0.0,416.0,0.174
417.0,0.0,417.0,0.162
418.0,0.0,418.0,0.151
419.0,0.0,419.0,0.185
420.0,0.0,420.0,0.174
421.0,0.0,421.0,0.266
422.0,0.0,422.0,0.243
423.0,0.0,423.0,0.127
424.0,0.0,424.0,0.0
425.0,0.0,425.0,0.0
426.0,0.0,426.0,0.0
427.0,0.0,427.0,0.0
428.0,0.521,428.0,0.0
429.0,0.521,429.0,0.0
430.0,0.0,430.0,0.0
431.0,0.521,431.0,0.0
432.0,0.521,432.0,0.0116
433.0,0.0,433.0,0.0348
434.0,0.0,434.0,0.0116
435.0,0.0,435.0,0.174
436.0,0.0,436.0,0.209
437.0,0.0,437.0,0.209
438.0,0.0,438.0,0.185
439.0,0.0,439.0,0.185
440.0,0.0,440.0,0.185
441.0,0.0,441.0,0.0695
442.0,0.0,442.0,0.0463
443.0,0.0,443.0,0.0579
444.0,0.0,444.0,0.0927
445.0,0.0,445.0,0.0116
446.0,0.521,446.0,0.0
447.0,0.0,447.0,0.0
448.0,0.521,448.0,0.0
449.0,0.0,449.0,0.0
450.0,0.0,450.0,0.0
451.0,0.521,451.0,0.0
452.0,0.0,452.0,0.0
453.0,0.0,453.0,0.0
454.0,0.0,454.0,0.0463
455.0,0.0,455.0,0.0
456.0,0.0,456.0,0.0
457.0,0.0,457.0,0.0
458.0,0.0,458.0,0.0116
459.0,0.0,459.0,0.185
460.0,0.0,460.0,0.197
461.0,0.0,461.0,0.209
462.0,0.0,462.0,0.185
463.0,0.0,463.0,0.174
464.0,0.521,464.0,0.0927
465.0,0.0,465.0,0.0579
466.0,0.0,466.0,0.0695
467.0,0.0,467.0,0.0811
468.0,0.0,468.0,0.0463
469.0,0.0,469.0,0.0579
470.0,0.0,470.0,0.0116
471.0,0.521,471.0,0.0
472.0,0.0,472.0,0.0
473.0,0.0,473.0,0.0
474.0,0.0,474.0,0.0
475.0,0.0,475.0,0.0
476.0,0.0,476.0,0.0
477.0,0.521,477.0,0.0
478.0,0.0,478.0,0.0116
479.0,0.0,479.0,0.0348
480.0,0.0,480.0,0.0
481.0,0.0,481.0,0.0695
482.0,0.0,482.0,0.174
483.0,0.0,483.0,0.174
484.0,0.0,484.0,0.127
485.0,0.0,485.0,0.139
486.0,0.0,486.0,0.127
487.0,0.0,487.0,0.116
488.0,0.0,488.0,0.139
489.0,0.521,489.0,0.0811
490.0,0.0,490.0,0.0811
491.0,0.0,491.0,0.151
492.0,0.0,492.0,0.0463
493.0,0.0,493.0,0.0463
494.0,0.0,494.0,0.0232
495.0,0.0,495.0,0.0
496.0,0.0,496.0,0.0
497.0,0.0,497.0,0.0
498.0,0.521,498.0,0.0
499.0,0.0,499.0,0.0
500.0,0.0,500.0,0.0
501.0,0.0,501.0,0.0
502.0,0.0,502.0,0.0
503.0,0.0,503.0,0.0
504.0,0.521,504.0,0.0
505.0,0.0,505.0,0.0
506.0,0.0,506.0,0.0
507.0,0.0,507.0,0.0
508.0,0.0,508.0,0.0
509.0,0.0,509.0,0.0116
510.0,0.0,510.0,0.0232
511.0,0.0,511.0,0.0116
512.0,0.0,512.0,0.0
513.0,0.0,513.0,0.0
514.0,0.0,514.0,0.0
515.0,0.0,515.0,0.0
516.0,0.0,516.0,0.0
517.0,0.0,517.0,0.0
518.0,0.0,518.0,0.243
519.0,0.0,519.0,0.266
520.0,0.0,520.0,0.209
521.0,0.0,521.0,0.197
522.0,0.521,522.0,0.185
523.0,0.0,523.0,0.209
524.0,0.0,524.0,0.22
525.0,0.0,525.0,0.209
526.0,0.521,526.0,0.174
527.0,0.0,527.0,0.185
528.0,0.0,528.0,0.174
529.0,0.0,529.0,0.174
530.0,0.0,530.0,0.0695
531.0,0.0,531.0,0.0348
532.0,0.0,532.0,0.0
533.0,0.0,533.0,0.0
534.0,0.0,534.0,0.0
535.0,0.521,535.0,0.0
536.0,0.0,536.0,0.0
537.0,0.0,537.0,0.0
538.0,0.0,538.0,0.0
539.0,0.0,539.0,0.0
540.0,0.521,540.0,0.0
541.0,0.0,541.0,0.0
542.0,0.521,542.0,0.0116
543.0,0.0,543.0,0.0348
544.0,0.0,544.0,0.0
545.0,0.0,545.0,0.0
546.0,0.0,546.0,0.0348
547.0,0.0,547.0,0.162
548.0,0.0,548.0,0.174
549.0,0.0,549.0,0.151
550.0,0.0,550.0,0.162
551.0,0.0,551.0,0.185
552.0,0.0,552.0,0.162
553.0,0.0,553.0,0.174
554.0,0.0,554.0,0.127
555.0,0.0,555.0,0.127
556.0,0.0,556.0,0.162
557.0,0.0,557.0,0.104
558.0,0.0,558.0,0.0116
559.0,0.0,559.0,0.0
560.0,0.0,560.0,0.0
561.0,0.0,561.0,0.0
562.0,0.0,562.0,0.0
563.0,0.0,563.0,0.0
564.0,0.521,564.0,0.0
565.0,0.0,565.0,0.0
566.0,0.521,566.0,0.0
567.0,0.0,567.0,0.0
568.0,0.0,568.0,0.0
569.0,0.521,569.0,0.0
570.0,0.0,570.0,0.0463
571.0,0.0,571.0,0.0
572.0,0.0,572.0,0.0
573.0,0.0,573.0,0.0
574.0,0.0,574.0,0.0
575.0,0.0,575.0,0.0
576.0,0.0,576.0,0.0
577.0,0.0,577.0,0.0
578.0,0.0,578.0,0.0
579.0,0.0,579.0,0.0695
580.0,0.0,580.0,0.162
581.0,0.0,581.0,0.139
582.0,0.0,582.0,0.116
583.0,0.0,583.0,0.127
584.0,0.0,584.0,0.116
585.0,0.0,585.0,0.139
586.0,0.0,586.0,0.151
587.0,0.0,587.0,0.127
588.0,0.0,588.0,0.151
589.0,0.0,589.0,0.174
590.0,0.0,590.0,0.266
591.0,0.0,591.0,0.243
592.0,0.0,592.0,0.266
593.0,0.0,593.0,0.197
594.0,0.0,594.0,0.139
595.0,0.0,595.0,0.151
596.0,0.0,596.0,0.174
597.0,0.0,597.0,0.232
598.0,0.0,598.0,0.151
599.0,0.0,599.0,0.0
600.0,0.0,600.0,0.0
601.0,0.0,601.0,0.0
602.0,0.0,602.0,0.0
603.0,0.0,603.0,0.0
604.0,0.521,604.0,0.0
605.0,0.0,605.0,0.0
606.0,0.521,606.0,0.0
607.0,0.0,607.0,0.0
608.0,0.521,608.0,0.0
609.0,0.0,609.0,0.0
610.0,0.521,610.0,0.0
611.0,0.0,611.0,0.0
612.0,0.0,612.0,0.0
613.0,0.521,613.0,0.0
