senderTs,senderMbps,receiverTs,receiverMbps
83.0,0.521,83.0,0.0811
84.0,0.0,84.0,0.104
85.0,0.0,85.0,0.127
86.0,0.521,86.0,0.0927
87.0,0.0,87.0,0.0927
88.0,0.0,88.0,0.0695
89.0,0.0,89.0,0.0348
90.0,0.521,90.0,0.0232
91.0,0.0,91.0,0.0
92.0,0.0,92.0,0.0
93.0,0.0,93.0,0.0
94.0,0.0,94.0,0.0
95.0,0.0,95.0,0.0116
96.0,0.0,96.0,0.0348
97.0,0.0,97.0,0.0116
98.0,0.0,98.0,0.151
99.0,0.521,99.0,0.174
100.0,0.0,100.0,0.151
101.0,0.521,101.0,0.116
102.0,0.0,102.0,0.0927
103.0,0.0,103.0,0.0811
104.0,0.0,104.0,0.0811
105.0,0.0,105.0,0.104
106.0,0.0,106.0,0.0927
107.0,0.0,107.0,0.0927
108.0,0.0,108.0,0.0348
109.0,0.0,109.0,0.0695
110.0,0.0,110.0,0.0695
111.0,0.521,111.0,0.0927
112.0,0.0,112.0,0.116
113.0,0.0,113.0,0.116
114.0,0.521,114.0,0.104
115.0,0.0,115.0,0.0
116.0,0.0,116.0,0.0116
117.0,0.0,117.0,0.0348
118.0,0.0,118.0,0.0
119.0,0.0,119.0,0.0
120.0,0.0,120.0,0.0
121.0,0.0,121.0,0.104
122.0,0.0,122.0,0.104
123.0,0.0,123.0,0.116
124.0,1.04,124.0,0.127
125.0,0.521,125.0,0.151
126.0,1.04,126.0,0.139
127.0,0.0,127.0,0.127
128.0,0.0,128.0,0.127
129.0,0.0,129.0,0.174
130.0,0.521,130.0,0.104
131.0,0.521,131.0,0.0579
132.0,0.0,132.0,0.0579
133.0,0.0,133.0,0.0348
134.0,0.521,134.0,0.0
135.0,0.0,135.0,0.0
136.0,0.0,136.0,0.0
137.0,0.0,137.0,0.0
138.0,0.0,138.0,0.0116
139.0,0.0,139.0,0.0348
140.0,0.0,140.0,0.0
141.0,0.521,141.0,0.0
142.0,0.0,142.0,0.0695
143.0,0.0,143.0,0.151
144.0,0.0,144.0,0.139
145.0,0.0,145.0,0.127
146.0,0.0,146.0,0.151
147.0,0.0,147.0,0.197
148.0,0.521,148.0,0.197
149.0,1.04,149.0,0.185
150.0,0.521,150.0,0.185
151.0,0.0,151.0,0.127
152.0,0.0,152.0,0.0
153.0,0.521,153.0,0.0
154.0,0.0,154.0,0.0
155.0,0.0,155.0,0.0
156.0,0.0,156.0,0.0
157.0,0.0,157.0,0.0
158.0,0.0,158.0,0.0116
159.0,1.56,159.0,0.0348
160.0,0.0,160.0,0.0
161.0,0.0,161.0,0.0
162.0,0.0,162.0,0.0
163.0,0.0,163.0,0.0
164.0,0.0,164.0,0.0
165.0,0.0,165.0,0.0
166.0,0.0,166.0,0.0
167.0,0.0,167.0,0.116
168.0,0.521,168.0,0.139
169.0,0.0,169.0,0.104
170.0,0.0,170.0,0.0927
171.0,0.0,171.0,0.116
172.0,0.0,172.0,0.104
173.0,0.0,173.0,0.0811
174.0,0.0,174.0,0.104
175.0,0.0,175.0,0.127
176.0,0.0,176.0,0.266
177.0,0.0,177.0,0.0695
178.0,0.0,178.0,0.0348
179.0,0.0,179.0,0.0232
180.0,0.0,180.0,0.0116
181.0,0.0,181.0,0.0116
182.0,0.0,182.0,0.0
183.0,0.0,183.0,0.0
184.0,0.0,184.0,0.0
185.0,0.0,185.0,0.0
186.0,0.0,186.0,0.0
187.0,0.521,187.0,0.0
188.0,0.521,188.0,0.0116
189.0,0.0,189.0,0.0348
190.0,0.0,190.0,0.0
191.0,0.0,191.0,0.0
192.0,0.0,192.0,0.0
193.0,0.0,193.0,0.0
194.0,0.0,194.0,0.0927
195.0,0.0,195.0,0.116
196.0,0.0,196.0,0.127
197.0,0.0,197.0,0.127
198.0,0.0,198.0,0.139
199.0,0.0,199.0,0.151
200.0,0.0,200.0,0.116
201.0,0.0,201.0,0.116
202.0,0.0,202.0,0.139
203.0,0.0,203.0,0.151
204.0,0.521,204.0,0.174
205.0,0.0,205.0,0.104
206.0,0.521,206.0,0.0116
207.0,0.0,207.0,0.0
208.0,0.0,208.0,0.0
209.0,0.0,209.0,0.0
