senderTs,senderMbps,receiverTs,receiverMbps
330.0,0.521,330.0,0.0
331.0,0.0,331.0,0.0
332.0,0.521,332.0,0.0
333.0,0.0,333.0,0.0
334.0,0.0,334.0,0.0
335.0,0.0,335.0,0.0
336.0,0.0,336.0,0.0
337.0,0.0,337.0,0.0
338.0,0.0,338.0,0.0
339.0,0.0,339.0,0.0
340.0,0.0,340.0,0.0
341.0,0.0,341.0,0.0116
342.0,0.0,342.0,0.0348
343.0,0.0,343.0,0.0
344.0,0.0,344.0,0.0
345.0,0.0,345.0,0.0
346.0,0.0,346.0,0.0
347.0,0.0,347.0,0.0
348.0,0.0,348.0,0.0116
349.0,0.0,349.0,0.127
350.0,0.0,350.0,0.232
351.0,0.0,351.0,0.209
352.0,0.0,352.0,0.174
353.0,0.0,353.0,0.174
354.0,0.0,354.0,0.127
355.0,0.0,355.0,0.116
356.0,0.0,356.0,0.151
357.0,0.0,357.0,0.209
358.0,0.0,358.0,0.174
359.0,0.0,359.0,0.151
360.0,0.0,360.0,0.127
361.0,0.0,361.0,0.139
362.0,0.0,362.0,0.139
363.0,0.0,363.0,0.116
364.0,0.0,364.0,0.116
365.0,0.521,365.0,0.116
366.0,0.0,366.0,0.116
367.0,0.521,367.0,0.185
368.0,0.0,368.0,0.174
369.0,0.521,369.0,0.209
370.0,0.0,370.0,0.0232
371.0,0.0,371.0,0.0
372.0,0.521,372.0,0.0
373.0,0.0,373.0,0.0
374.0,0.0,374.0,0.0
375.0,0.521,375.0,0.0
376.0,0.521,376.0,0.0463
377.0,0.521,377.0,0.0
378.0,0.0,378.0,0.0
379.0,0.0,379.0,0.0463
380.0,0.0,380.0,0.185
381.0,0.0,381.0,0.243
382.0,0.0,382.0,0.209
383.0,0.0,383.0,0.243
384.0,0.0,384.0,0.22
385.0,0.0,385.0,0.162
386.0,0.0,386.0,0.151
387.0,0.0,387.0,0.0695
388.0,0.0,388.0,0.0579
389.0,0.0,389.0,0.0811
390.0,0.0,390.0,0.0811
391.0,0.0,391.0,0.0695
392.0,0.0,392.0,0.0579
393.0,0.521,393.0,0.0232
394.0,0.0,394.0,0.0116
395.0,0.0,395.0,0.0
396.0,0.0,396.0,0.0
397.0,0.521,397.0,0.0
398.0,0.0,398.0,0.0463
399.0,0.0,399.0,0.0348
400.0,0.521,400.0,0.0
401.0,0.0,401.0,0.0
402.0,0.0,402.0,0.0116
403.0,0.521,403.0,0.0348
404.0,0.0,404.0,0.0927
405.0,0.0,405.0,0.162
406.0,0.0,406.0,0.162
407.0,0.0,407.0,0.162
408.0,0.0,408.0,0.116
409.0,0.0,409.0,0.0927
410.0,0.0,410.0,0.0463
411.0,0.0,411.0,0.0463
412.0,0.521,412.0,0.0348
413.0,0.0,413.0,0.0695
414.0,0.0,414.0,0.0
415.0,0.0,415.0,0.0232
416.0,0.0,416.0,0.0
417.0,0.0,417.0,0.0
418.0,0.0,418.0,0.0
419.0,0.0,419.0,0.0
420.0,0.0,420.0,0.0
421.0,0.0,421.0,0.0
422.0,0.0,422.0,0.0
423.0,0.521,423.0,0.0
424.0,0.0,424.0,0.0
425.0,0.0,425.0,0.0116
426.0,0.0,426.0,0.0116
427.0,0.0,427.0,0.0232
428.0,0.0,428.0,0.0
429.0,0.0,429.0,0.0
430.0,0.0,430.0,0.0
431.0,0.0,431.0,0.0
432.0,0.0,432.0,0.0
433.0,0.0,433.0,0.0
434.0,0.0,434.0,0.0
435.0,0.0,435.0,0.0
436.0,0.0,436.0,0.0
437.0,0.0,437.0,0.0
438.0,0.0,438.0,0.0
439.0,0.0,439.0,0.0
440.0,0.0,440.0,0.0116
441.0,0.0,441.0,0.0927
442.0,0.0,442.0,0.127
443.0,0.0,443.0,0.127
444.0,0.0,444.0,0.151
445.0,0.0,445.0,0.151
446.0,0.0,446.0,0.139
447.0,0.0,447.0,0.185
448.0,0.0,448.0,0.209
449.0,0.0,449.0,0.174
450.0,0.0,450.0,0.174
451.0,0.0,451.0,0.0695
452.0,0.0,452.0,0.0
453.0,0.0,453.0,0.0
454.0,0.521,454.0,0.0
455.0,0.0,455.0,0.0
456.0,1.04,456.0,0.0
457.0,0.0,457.0,0.0
458.0,0.0,458.0,0.0
459.0,0.0,459.0,0.0
460.0,0.0,460.0,0.0463
461.0,0.0,461.0,0.0
462.0,0.0,462.0,0.0
463.0,0.0,463.0,0.0
464.0,0.0,464.0,0.0
465.0,0.0,465.0,0.0
466.0,0.0,466.0,0.0
467.0,0.0,467.0,0.0579
468.0,0.0,468.0,0.151
469.0,0.0,469.0,0.139
470.0,0.0,470.0,0.243
471.0,0.0,471.0,0.255
472.0,0.0,472.0,0.266
473.0,0.0,473.0,0.174
474.0,0.0,474.0,0.162
475.0,0.0,475.0,0.151
476.0,0.0,476.0,0.139
477.0,0.0,477.0,0.116
478.0,0.0,478.0,0.127
479.0,0.0,479.0,0.0927
480.0,0.0,480.0,0.0927
481.0,0.0,481.0,0.104
482.0,0.521,482.0,0.0927
483.0,0.0,483.0,0.127
484.0,0.0,484.0,0.127
485.0,0.0,485.0,0.232
486.0,0.0,486.0,0.139
487.0,0.0,487.0,0.0
488.0,0.521,488.0,0.0
489.0,0.0,489.0,0.0
490.0,0.521,490.0,0.0
491.0,0.521,491.0,0.0
492.0,0.0,492.0,0.0579
493.0,1.04,493.0,0.104
494.0,0.0,494.0,0.104
495.0,0.0,495.0,0.139
496.0,0.0,496.0,0.0927
497.0,0.0,497.0,0.0927
498.0,0.0,498.0,0.0695
499.0,0.521,499.0,0.0463
500.0,0.0,500.0,0.0463
501.0,0.0,501.0,0.0579
502.0,0.0,502.0,0.0116
503.0,0.0,503.0,0.0348
504.0,0.0,504.0,0.0232
505.0,0.0,505.0,0.0
506.0,0.0,506.0,0.0
507.0,0.0,507.0,0.0
508.0,0.0,508.0,0.0
509.0,0.0,509.0,0.0
510.0,0.0,510.0,0.0232
511.0,0.0,511.0,0.0116
512.0,0.0,512.0,0.0116
513.0,0.0,513.0,0.0
514.0,0.0,514.0,0.0
515.0,0.0,515.0,0.0
516.0,0.0,516.0,0.0
517.0,0.0,517.0,0.0
518.0,0.0,518.0,0.0
519.0,0.0,519.0,0.0
520.0,0.0,520.0,0.0
521.0,0.0,521.0,0.0116
522.0,0.0,522.0,0.127
523.0,0.0,523.0,0.116
524.0,0.0,524.0,0.127
525.0,0.0,525.0,0.116
526.0,0.0,526.0,0.127
527.0,0.0,527.0,0.116
528.0,0.0,528.0,0.104
529.0,0.0,529.0,0.104
530.0,0.0,530.0,0.0927
531.0,0.0,531.0,0.0927
532.0,0.0,532.0,0.0927
533.0,0.0,533.0,0.0927
534.0,0.0,534.0,0.0927
535.0,0.0,535.0,0.0811
536.0,0.0,536.0,0.104
537.0,0.0,537.0,0.151
538.0,0.0,538.0,0.197
539.0,0.0,539.0,0.255
540.0,0.0,540.0,0.209
541.0,0.0,541.0,0.232
542.0,0.0,542.0,0.29
543.0,0.0,543.0,0.151
544.0,0.0,544.0,0.0695
545.0,0.521,545.0,0.0
546.0,0.0,546.0,0.0
547.0,0.0,547.0,0.0
548.0,0.0,548.0,0.0
549.0,0.0,549.0,0.0
550.0,0.0,550.0,0.0
551.0,0.521,551.0,0.0
552.0,0.0,552.0,0.0
553.0,0.521,553.0,0.0
554.0,0.0,554.0,0.0
555.0,0.521,555.0,0.0
556.0,0.0,556.0,0.0
557.0,1.04,557.0,0.0232
558.0,0.0,558.0,0.0232
559.0,0.521,559.0,0.0
560.0,0.0,560.0,0.0
561.0,0.0,561.0,0.0
562.0,0.0,562.0,0.0
563.0,0.0,563.0,0.0
564.0,0.0,564.0,0.104
565.0,0.0,565.0,0.151
566.0,0.0,566.0,0.127
567.0,0.0,567.0,0.139
568.0,0.0,568.0,0.127
569.0,0.0,569.0,0.127
570.0,0.0,570.0,0.127
571.0,0.0,571.0,0.127
572.0,0.0,572.0,0.116
573.0,0.0,573.0,0.127
574.0,0.521,574.0,0.127
575.0,0.0,575.0,0.127
576.0,0.0,576.0,0.139
577.0,0.521,577.0,0.127
578.0,0.0,578.0,0.127
579.0,0.0,579.0,0.139
580.0,0.521,580.0,0.127
581.0,0.0,581.0,0.139
582.0,0.521,582.0,0.162
583.0,0.0,583.0,0.151
584.0,0.0,584.0,0.139
585.0,0.0,585.0,0.104
586.0,0.0,586.0,0.0695
587.0,0.521,587.0,0.0695
588.0,0.0,588.0,0.0695
589.0,0.0,589.0,0.0695
590.0,0.0,590.0,0.0695
591.0,0.0,591.0,0.0579
592.0,0.521,592.0,0.0811
593.0,0.0,593.0,0.0579
594.0,0.0,594.0,0.0
595.0,0.0,595.0,0.0463
596.0,0.0,596.0,0.255
597.0,0.521,597.0,0.232
598.0,0.0,598.0,0.22
599.0,0.0,599.0,0.185
600.0,0.0,600.0,0.116
601.0,0.521,601.0,0.139
602.0,0.0,602.0,0.0463
603.0,0.0,603.0,0.116
604.0,0.0,604.0,0.116
605.0,0.0,605.0,0.0695
606.0,0.521,606.0,0.0927
607.0,0.0,607.0,0.116
608.0,0.0,608.0,0.0348
609.0,0.521,609.0,0.0
610.0,0.0,610.0,0.0463
611.0,0.0,611.0,0.0232
612.0,0.0,612.0,0.174
613.0,0.0,613.0,0.139
614.0,0.0,614.0,0.151
615.0,0.0,615.0,0.22
616.0,0.0,616.0,0.243
617.0,0.0,617.0,0.104
618.0,0.0,618.0,0.116
619.0,0.0,619.0,0.162
620.0,0.521,620.0,0.232
621.0,0.0,621.0,0.209
622.0,0.0,622.0,0.0811
623.0,0.521,623.0,0.0811
624.0,0.521,624.0,0.0116
625.0,0.0,625.0,0.0
626.0,0.0,626.0,0.0463
627.0,0.0,627.0,0.127
628.0,0.0,628.0,0.197
629.0,0.0,629.0,0.127
630.0,0.0,630.0,0.139
631.0,0.0,631.0,0.0927
632.0,0.521,632.0,0.127
633.0,0.0,633.0,0.116
634.0,0.0,634.0,0.104
635.0,0.0,635.0,0.0463
636.0,0.521,636.0,0.0116
637.0,0.0,637.0,0.0695
638.0,0.0,638.0,0.104
639.0,0.0,639.0,0.151
640.0,0.521,640.0,0.162
641.0,0.0,641.0,0.0811
642.0,0.521,642.0,0.0
643.0,0.0,643.0,0.0
644.0,0.0,644.0,0.0463
645.0,0.0,645.0,0.0348
646.0,0.0,646.0,0.185
647.0,0.0,647.0,0.116
648.0,0.0,648.0,0.116
649.0,0.0,649.0,0.116
650.0,0.0,650.0,0.116
651.0,0.0,651.0,0.151
652.0,0.0,652.0,0.162
653.0,0.521,653.0,0.151
654.0,0.0,654.0,0.151
655.0,0.0,655.0,0.174
656.0,0.0,656.0,0.0811
657.0,0.521,657.0,0.104
658.0,0.0,658.0,0.209
659.0,0.0,659.0,0.0927
660.0,0.521,660.0,0.0116
661.0,0.521,661.0,0.0348
662.0,0.0,662.0,0.0463
663.0,0.0,663.0,0.151
664.0,0.0,664.0,0.162
665.0,0.0,665.0,0.162
666.0,0.0,666.0,0.151
667.0,0.0,667.0,0.162
668.0,0.0,668.0,0.174
669.0,0.0,669.0,0.162
670.0,0.0,670.0,0.162
671.0,0.521,671.0,0.127
672.0,0.0,672.0,0.127
673.0,0.0,673.0,0.266
674.0,0.0,674.0,0.0463
675.0,0.0,675.0,0.0
676.0,0.521,676.0,0.0463
677.0,0.521,677.0,0.0
678.0,0.0,678.0,0.0811
679.0,0.0,679.0,0.197
680.0,0.0,680.0,0.174
681.0,0.0,681.0,0.197
682.0,0.0,682.0,0.197
683.0,0.0,683.0,0.209
684.0,0.0,684.0,0.232
685.0,0.0,685.0,0.209
686.0,0.521,686.0,0.139
687.0,0.0,687.0,0.162
688.0,0.521,688.0,0.174
689.0,0.0,689.0,0.0348
690.0,0.521,690.0,0.0
691.0,0.0,691.0,0.0
692.0,0.521,692.0,0.0
693.0,0.0,693.0,0.0116
694.0,0.0,694.0,0.0348
695.0,0.0,695.0,0.0
696.0,0.0,696.0,0.0
697.0,0.0,697.0,0.0
698.0,0.0,698.0,0.139
699.0,0.0,699.0,0.22
700.0,0.0,700.0,0.266
701.0,0.521,701.0,0.255
702.0,0.0,702.0,0.232
703.0,0.521,703.0,0.255
704.0,0.0,704.0,0.22
705.0,0.0,705.0,0.174
706.0,0.521,706.0,0.162
707.0,0.0,707.0,0.116
708.0,0.0,708.0,0.139
709.0,0.521,709.0,0.151
710.0,0.0,710.0,0.127
711.0,0.0,711.0,0.139
712.0,0.0,712.0,0.0
713.0,0.521,713.0,0.0579
714.0,0.0,714.0,0.185
715.0,0.521,715.0,0.243
716.0,0.0,716.0,0.266
717.0,0.0,717.0,0.243
718.0,0.0,718.0,0.197
719.0,0.521,719.0,0.174
720.0,0.0,720.0,0.162
721.0,0.521,721.0,0.151
722.0,0.0,722.0,0.127
723.0,0.0,723.0,0.127
724.0,0.0,724.0,0.127
725.0,0.521,725.0,0.104
726.0,0.0,726.0,0.0695
727.0,0.0,727.0,0.243
728.0,0.521,728.0,0.22
729.0,0.0,729.0,0.22
730.0,0.0,730.0,0.232
731.0,0.521,731.0,0.185
732.0,0.0,732.0,0.232
733.0,0.521,733.0,0.336
734.0,0.521,734.0,0.266
735.0,0.0,735.0,0.22
736.0,0.0,736.0,0.232
737.0,0.0,737.0,0.197
738.0,0.521,738.0,0.197
739.0,0.0,739.0,0.174
740.0,0.521,740.0,0.197
741.0,0.0,741.0,0.232
742.0,0.0,742.0,0.174
743.0,0.521,743.0,0.197
744.0,0.0,744.0,0.174
745.0,0.521,745.0,0.116
746.0,0.0,746.0,0.139
747.0,0.521,747.0,0.116
748.0,0.0,748.0,0.382
749.0,0.0,749.0,0.209
750.0,0.521,750.0,0.162
751.0,0.0,751.0,0.162
752.0,0.0,752.0,0.0927
753.0,0.0,753.0,0.139
754.0,0.521,754.0,0.104
755.0,0.0,755.0,0.104
756.0,0.0,756.0,0.116
757.0,0.0,757.0,0.127
758.0,0.521,758.0,0.139
759.0,0.0,759.0,0.0579
760.0,0.0,760.0,0.301
761.0,0.0,761.0,0.301
762.0,0.521,762.0,0.243
763.0,0.0,763.0,0.243
764.0,0.521,764.0,0.301
765.0,0.0,765.0,0.243
766.0,0.521,766.0,0.243
767.0,0.0,767.0,0.209
768.0,0.0,768.0,0.232
769.0,0.521,769.0,0.232
770.0,0.0,770.0,0.185
771.0,0.521,771.0,0.301
772.0,0.521,772.0,0.359
773.0,0.521,773.0,0.371
774.0,0.0,774.0,0.336
775.0,0.521,775.0,0.278
776.0,0.521,776.0,0.255
777.0,0.0,777.0,0.197
778.0,0.0,778.0,0.243
779.0,0.521,779.0,0.209
780.0,0.0,780.0,0.243
781.0,0.0,781.0,0.22
782.0,0.521,782.0,0.197
783.0,0.0,783.0,0.162
784.0,0.521,784.0,0.278
785.0,0.0,785.0,0.336
786.0,0.521,786.0,0.29
787.0,0.0,787.0,0.313
788.0,0.521,788.0,0.301
789.0,0.521,789.0,0.278
790.0,0.0,790.0,0.232
791.0,0.0,791.0,0.255
792.0,0.521,792.0,0.266
793.0,0.0,793.0,0.301
794.0,0.521,794.0,0.266
795.0,0.521,795.0,0.162
796.0,0.0,796.0,0.348
797.0,0.521,797.0,0.29
798.0,0.0,798.0,0.324
799.0,0.521,799.0,0.313
800.0,0.0,800.0,0.255
801.0,0.521,801.0,0.232
802.0,0.0,802.0,0.266
803.0,0.521,803.0,0.278
804.0,0.0,804.0,0.255
805.0,0.521,805.0,0.266
806.0,0.0,806.0,0.209
807.0,0.521,807.0,0.232
808.0,0.0,808.0,0.278
809.0,0.521,809.0,0.278
810.0,0.0,810.0,0.266
811.0,0.521,811.0,0.278
812.0,0.0,812.0,0.29
813.0,0.521,813.0,0.278
814.0,0.0,814.0,0.209
815.0,0.521,815.0,0.232
816.0,0.0,816.0,0.209
817.0,0.0,817.0,0.209
818.0,0.521,818.0,0.0927
819.0,0.0,819.0,0.232
820.0,0.0,820.0,0.394
821.0,0.521,821.0,0.348
822.0,0.521,822.0,0.382
823.0,0.0,823.0,0.359
824.0,0.521,824.0,0.394
825.0,0.521,825.0,0.475
826.0,0.521,826.0,0.487
827.0,0.521,827.0,0.44
828.0,0.0,828.0,0.394
829.0,0.521,829.0,0.544
830.0,0.521,830.0,0.533
831.0,0.521,831.0,0.463
832.0,0.521,832.0,0.417
833.0,0.0,833.0,0.44
834.0,0.521,834.0,0.429
835.0,0.521,835.0,0.405
836.0,0.521,836.0,0.359
837.0,0.521,837.0,0.0579
838.0,0.521,838.0,0.44
839.0,0.0,839.0,0.371
840.0,0.521,840.0,0.475
841.0,0.521,841.0,0.359
842.0,0.0,842.0,0.382
843.0,0.521,843.0,0.359
844.0,0.521,844.0,0.359
845.0,0.0,845.0,0.405
846.0,0.521,846.0,0.359
847.0,0.521,847.0,0.29
848.0,0.0,848.0,0.185
849.0,0.521,849.0,0.0463
850.0,0.521,850.0,0.348
851.0,0.0,851.0,0.487
852.0,0.521,852.0,0.463
853.0,0.521,853.0,0.394
854.0,0.0,854.0,0.336
855.0,0.521,855.0,0.336
856.0,0.521,856.0,0.394
857.0,0.0,857.0,0.348
858.0,0.521,858.0,0.371
859.0,0.521,859.0,0.324
860.0,0.521,860.0,0.301
861.0,0.0,861.0,0.209
862.0,0.521,862.0,0.255
863.0,0.0,863.0,0.371
