senderTs,senderMbps,receiverTs,receiverMbps
124.0,0.0,124.0,0.0695
125.0,0.0,125.0,0.0927
126.0,0.0,126.0,0.0927
127.0,0.0,127.0,0.0463
128.0,0.0,128.0,0.0348
129.0,0.521,129.0,0.0232
130.0,0.0,130.0,0.0348
131.0,0.0,131.0,0.0348
132.0,0.0,132.0,0.0463
133.0,0.0,133.0,0.0695
134.0,0.0,134.0,0.0579
135.0,0.521,135.0,0.0463
136.0,0.0,136.0,0.0811
137.0,0.0,137.0,0.0
138.0,0.0,138.0,0.0
139.0,0.0,139.0,0.0
140.0,0.0,140.0,0.0
141.0,0.0,141.0,0.0348
142.0,0.0,142.0,0.0116
143.0,0.0,143.0,0.0
144.0,0.0,144.0,0.0
145.0,0.521,145.0,0.0
146.0,0.0,146.0,0.0
147.0,0.0,147.0,0.0695
148.0,0.0,148.0,0.0695
149.0,0.0,149.0,0.0695
150.0,0.0,150.0,0.0463
151.0,0.0,151.0,0.0579
152.0,0.0,152.0,0.0579
153.0,0.0,153.0,0.0579
154.0,1.04,154.0,0.0579
155.0,0.0,155.0,0.0811
156.0,0.521,156.0,0.0579
157.0,0.0,157.0,0.0579
158.0,0.0,158.0,0.0463
159.0,0.0,159.0,0.0348
160.0,0.0,160.0,0.0232
161.0,0.0,161.0,0.0348
162.0,0.0,162.0,0.0348
163.0,0.0,163.0,0.0579
164.0,0.0,164.0,0.0927
165.0,0.0,165.0,0.116
166.0,0.0,166.0,0.0579
167.0,0.0,167.0,0.151
168.0,0.521,168.0,0.151
169.0,0.0,169.0,0.22
170.0,0.0,170.0,0.162
171.0,0.521,171.0,0.0
172.0,0.521,172.0,0.0
173.0,0.0,173.0,0.0
174.0,0.0,174.0,0.0
175.0,0.0,175.0,0.0
176.0,0.0,176.0,0.0
177.0,0.0,177.0,0.0232
178.0,0.0,178.0,0.0232
179.0,0.0,179.0,0.0
180.0,0.0,180.0,0.0
181.0,0.0,181.0,0.0
182.0,0.0,182.0,0.0
183.0,0.0,183.0,0.0
184.0,0.0,184.0,0.0
185.0,0.0,185.0,0.0
186.0,0.0,186.0,0.0
187.0,0.0,187.0,0.0
188.0,0.0,188.0,0.0
189.0,0.0,189.0,0.0
190.0,0.0,190.0,0.0
191.0,0.0,191.0,0.0
192.0,0.0,192.0,0.0
193.0,0.0,193.0,0.0116
194.0,0.0,194.0,0.197
195.0,0.0,195.0,0.185
196.0,0.0,196.0,0.104
197.0,0.0,197.0,0.139
198.0,0.521,198.0,0.232
199.0,0.0,199.0,0.0
200.0,0.521,200.0,0.0
201.0,0.0,201.0,0.0
202.0,0.0,202.0,0.0
203.0,0.0,203.0,0.0
204.0,0.0,204.0,0.0348
205.0,0.0,205.0,0.0116
206.0,0.0,206.0,0.0
207.0,0.0,207.0,0.0
208.0,0.0,208.0,0.0
209.0,0.0,209.0,0.0
210.0,0.0,210.0,0.0811
211.0,0.0,211.0,0.0811
212.0,0.0,212.0,0.0695
213.0,0.0,213.0,0.0579
214.0,0.0,214.0,0.0695
215.0,0.0,215.0,0.0348
216.0,0.0,216.0,0.0579
217.0,0.0,217.0,0.0695
218.0,0.0,218.0,0.116
219.0,0.0,219.0,0.174
220.0,0.521,220.0,0.127
221.0,0.0,221.0,0.151
222.0,0.0,222.0,0.185
223.0,0.521,223.0,0.174
224.0,0.0,224.0,0.0695
225.0,0.0,225.0,0.0579
226.0,0.0,226.0,0.0579
227.0,0.521,227.0,0.0463
228.0,0.0,228.0,0.0695
229.0,0.0,229.0,0.104
230.0,0.0,230.0,0.127
231.0,0.0,231.0,0.0579
232.0,0.0,232.0,0.0
233.0,0.0,233.0,0.0232
234.0,0.0,234.0,0.0232
235.0,0.0,235.0,0.0232
236.0,0.0,236.0,0.0348
237.0,0.521,237.0,0.0579
238.0,0.0,238.0,0.0
239.0,0.0,239.0,0.0
240.0,0.0,240.0,0.0
241.0,0.0,241.0,0.0
242.0,0.0,242.0,0.0116
243.0,0.0,243.0,0.0348
244.0,0.0,244.0,0.0
245.0,0.0,245.0,0.0232
246.0,0.0,246.0,0.0463
247.0,0.0,247.0,0.0463
248.0,0.0,248.0,0.0463
249.0,0.0,249.0,0.0463
250.0,0.0,250.0,0.0463
251.0,0.0,251.0,0.0695
252.0,0.0,252.0,0.0811
253.0,0.0,253.0,0.0579
254.0,0.0,254.0,0.0695
255.0,0.0,255.0,0.0463
256.0,0.0,256.0,0.0232
257.0,0.0,257.0,0.0463
258.0,0.521,258.0,0.0232
259.0,0.0,259.0,0.0811
260.0,0.0,260.0,0.0
261.0,0.0,261.0,0.0
262.0,0.0,262.0,0.0
263.0,0.0,263.0,0.0
264.0,0.521,264.0,0.0
265.0,0.0,265.0,0.0463
266.0,0.0,266.0,0.0811
267.0,0.0,267.0,0.0927
268.0,0.0,268.0,0.0695
269.0,0.0,269.0,0.0463
270.0,0.0,270.0,0.0116
271.0,0.0,271.0,0.0232
272.0,0.0,272.0,0.0232
273.0,0.0,273.0,0.0116
274.0,0.0,274.0,0.0116
275.0,0.0,275.0,0.0811
276.0,0.0,276.0,0.0463
277.0,0.0,277.0,0.0232
278.0,0.521,278.0,0.0348
279.0,0.0,279.0,0.0
280.0,0.0,280.0,0.0
281.0,0.0,281.0,0.0
282.0,0.0,282.0,0.0
283.0,0.0,283.0,0.0
284.0,0.0,284.0,0.0
285.0,0.0,285.0,0.0
286.0,0.0,286.0,0.0232
287.0,0.0,287.0,0.0232
288.0,0.0,288.0,0.0348
289.0,0.0,289.0,0.0927
290.0,0.0,290.0,0.0695
291.0,0.0,291.0,0.0695
292.0,0.0,292.0,0.0579
293.0,0.0,293.0,0.0579
294.0,0.0,294.0,0.0579
295.0,0.0,295.0,0.0348
296.0,0.0,296.0,0.0232
297.0,0.0,297.0,0.0
298.0,0.0,298.0,0.0463
299.0,0.0,299.0,0.0348
300.0,0.521,300.0,0.0348
301.0,0.0,301.0,0.0
302.0,0.0,302.0,0.0
303.0,0.0,303.0,0.0
304.0,0.0,304.0,0.0
305.0,0.0,305.0,0.0
306.0,0.0,306.0,0.0
307.0,0.0,307.0,0.0
308.0,0.0,308.0,0.0
309.0,0.0,309.0,0.0
310.0,0.0,310.0,0.0463
311.0,0.0,311.0,0.0
312.0,0.0,312.0,0.0
313.0,0.0,313.0,0.0
314.0,0.0,314.0,0.0
315.0,0.0,315.0,0.0232
316.0,0.0,316.0,0.116
317.0,0.0,317.0,0.22
318.0,0.521,318.0,0.162
319.0,0.0,319.0,0.127
320.0,0.0,320.0,0.174
321.0,0.521,321.0,0.116
322.0,0.0,322.0,0.104
323.0,0.0,323.0,0.151
324.0,0.0,324.0,0.116
325.0,0.0,325.0,0.0811
326.0,0.521,326.0,0.0811
327.0,0.0,327.0,0.0811
328.0,0.0,328.0,0.0463
329.0,0.0,329.0,0.0463
330.0,0.0,330.0,0.0348
331.0,0.0,331.0,0.0348
