senderTs,senderMbps,receiverTs,receiverMbps
254.0,0.0,254.0,0.0811
255.0,0.0,255.0,0.0579
256.0,0.0,256.0,0.0463
257.0,0.0,257.0,0.0579
258.0,0.0,258.0,0.0348
259.0,0.0,259.0,0.0116
260.0,0.0,260.0,0.0116
261.0,0.0,261.0,0.0116
262.0,0.0,262.0,0.0116
263.0,0.0,263.0,0.0
264.0,0.521,264.0,0.0
265.0,0.0,265.0,0.0
266.0,0.0,266.0,0.0
267.0,0.0,267.0,0.0
268.0,0.0,268.0,0.0
269.0,0.0,269.0,0.0
270.0,0.521,270.0,0.0
271.0,0.0,271.0,0.0
272.0,0.0,272.0,0.0
273.0,0.0,273.0,0.0
274.0,0.0,274.0,0.0
275.0,0.0,275.0,0.0
276.0,0.0,276.0,0.0
277.0,0.0,277.0,0.0
278.0,0.0,278.0,0.0
279.0,0.0,279.0,0.0
280.0,0.0,280.0,0.0232
281.0,0.0,281.0,0.0232
282.0,0.0,282.0,0.0
283.0,0.0,283.0,0.0
284.0,0.0,284.0,0.0
285.0,0.0,285.0,0.266
286.0,0.0,286.0,0.382
287.0,0.0,287.0,0.185
288.0,0.0,288.0,0.139
289.0,0.0,289.0,0.127
290.0,0.0,290.0,0.116
291.0,0.0,291.0,0.127
292.0,0.0,292.0,0.0811
293.0,0.521,293.0,0.0695
294.0,0.0,294.0,0.0579
295.0,0.0,295.0,0.0463
296.0,0.0,296.0,0.0463
297.0,0.0,297.0,0.0348
298.0,0.0,298.0,0.0232
299.0,0.0,299.0,0.0348
300.0,0.521,300.0,0.0232
301.0,0.0,301.0,0.0348
302.0,0.0,302.0,0.0348
303.0,0.521,303.0,0.0463
304.0,0.0,304.0,0.0348
305.0,0.0,305.0,0.0348
306.0,0.521,306.0,0.0348
307.0,0.0,307.0,0.0116
308.0,0.0,308.0,0.0
309.0,0.0,309.0,0.0
310.0,0.0,310.0,0.0
311.0,0.0,311.0,0.0
312.0,0.0,312.0,0.0
313.0,0.0,313.0,0.0
314.0,0.0,314.0,0.0
315.0,0.0,315.0,0.0
316.0,0.0,316.0,0.0
317.0,0.0,317.0,0.0
318.0,0.0,318.0,0.0
319.0,0.0,319.0,0.0
320.0,0.0,320.0,0.0
321.0,0.0,321.0,0.0
322.0,0.0,322.0,0.209
323.0,0.0,323.0,0.0
324.0,0.0,324.0,0.0
325.0,0.0,325.0,0.0
326.0,0.0,326.0,0.0
327.0,0.0,327.0,0.0
328.0,0.0,328.0,0.0
329.0,0.521,329.0,0.116
330.0,0.0,330.0,0.0811
331.0,0.0,331.0,0.0811
332.0,0.0,332.0,0.0579
333.0,0.0,333.0,0.0579
334.0,0.0,334.0,0.0579
335.0,0.0,335.0,0.0695
336.0,0.0,336.0,0.0695
337.0,0.0,337.0,0.0695
338.0,0.0,338.0,0.0811
339.0,0.0,339.0,0.0811
340.0,0.0,340.0,0.0579
341.0,0.0,341.0,0.0579
342.0,0.0,342.0,0.0695
343.0,0.0,343.0,0.0927
344.0,0.0,344.0,0.104
345.0,0.0,345.0,0.0927
346.0,0.521,346.0,0.0927
347.0,0.521,347.0,0.0811
348.0,0.0,348.0,0.116
349.0,0.521,349.0,0.0
350.0,0.0,350.0,0.0
351.0,0.0,351.0,0.0
352.0,0.0,352.0,0.0348
353.0,0.0,353.0,0.0116
354.0,0.0,354.0,0.0
355.0,0.0,355.0,0.0232
356.0,0.0,356.0,0.0927
357.0,0.0,357.0,0.104
358.0,0.0,358.0,0.0927
359.0,0.0,359.0,0.0927
360.0,0.0,360.0,0.0811
361.0,0.0,361.0,0.0463
362.0,0.0,362.0,0.0695
363.0,0.0,363.0,0.0463
364.0,0.0,364.0,0.0579
365.0,0.0,365.0,0.0579
366.0,0.0,366.0,0.0463
367.0,0.0,367.0,0.0463
368.0,0.0,368.0,0.0463
369.0,0.0,369.0,0.0463
370.0,0.0,370.0,0.0348
371.0,0.0,371.0,0.0463
372.0,0.0,372.0,0.0463
373.0,0.0,373.0,0.0
374.0,0.0,374.0,0.0
375.0,0.0,375.0,0.0
376.0,0.521,376.0,0.0
377.0,0.0,377.0,0.0
378.0,0.521,378.0,0.0
379.0,0.0,379.0,0.0
380.0,0.0,380.0,0.0
381.0,0.0,381.0,0.0
382.0,0.0,382.0,0.0
383.0,0.0,383.0,0.0
384.0,0.0,384.0,0.0
385.0,0.0,385.0,0.0463
386.0,0.0,386.0,0.0
387.0,0.0,387.0,0.0463
388.0,0.0,388.0,0.0927
389.0,0.0,389.0,0.104
390.0,0.0,390.0,0.127
391.0,0.0,391.0,0.116
392.0,0.0,392.0,0.174
393.0,0.0,393.0,0.116
394.0,0.0,394.0,0.0463
395.0,0.0,395.0,0.0463
396.0,0.0,396.0,0.0348
397.0,0.0,397.0,0.0116
398.0,0.0,398.0,0.0463
399.0,0.0,399.0,0.0232
400.0,0.0,400.0,0.0232
401.0,0.0,401.0,0.0116
402.0,0.0,402.0,0.0232
403.0,0.0,403.0,0.0348
404.0,0.521,404.0,0.0232
405.0,0.0,405.0,0.0232
406.0,0.0,406.0,0.0348
407.0,0.0,407.0,0.0232
408.0,0.0,408.0,0.0348
409.0,0.0,409.0,0.0232
410.0,0.521,410.0,0.0348
411.0,0.0,411.0,0.0232
412.0,0.0,412.0,0.0463
413.0,0.521,413.0,0.0232
414.0,0.0,414.0,0.0463
415.0,0.0,415.0,0.0116
416.0,0.0,416.0,0.0
417.0,0.0,417.0,0.0
418.0,0.0,418.0,0.0
419.0,0.0,419.0,0.0
420.0,0.0,420.0,0.0116
421.0,0.0,421.0,0.0348
422.0,0.0,422.0,0.0
423.0,0.0,423.0,0.0
424.0,0.0,424.0,0.0811
425.0,0.0,425.0,0.104
426.0,0.0,426.0,0.104
427.0,0.0,427.0,0.0927
428.0,0.0,428.0,0.0695
429.0,0.0,429.0,0.0463
430.0,0.0,430.0,0.0579
431.0,0.0,431.0,0.0463
432.0,0.0,432.0,0.0579
433.0,0.0,433.0,0.0463
434.0,0.0,434.0,0.0579
435.0,0.0,435.0,0.0579
436.0,0.0,436.0,0.0695
437.0,0.0,437.0,0.0579
438.0,0.0,438.0,0.0579
439.0,0.0,439.0,0.0811
440.0,0.0,440.0,0.0579
441.0,0.0,441.0,0.0
442.0,0.0,442.0,0.0
443.0,0.521,443.0,0.0
444.0,0.521,444.0,0.0
445.0,0.0,445.0,0.0
446.0,0.0,446.0,0.0
447.0,0.0,447.0,0.0
448.0,0.0,448.0,0.0
449.0,0.0,449.0,0.0
450.0,0.0,450.0,0.0
451.0,0.0,451.0,0.0
452.0,0.0,452.0,0.0
453.0,0.0,453.0,0.0
454.0,0.0,454.0,0.0463
455.0,0.0,455.0,0.0
456.0,0.0,456.0,0.0
457.0,0.0,457.0,0.0
458.0,0.0,458.0,0.0
459.0,0.0,459.0,0.0348
460.0,0.0,460.0,0.104
461.0,0.0,461.0,0.104
462.0,0.0,462.0,0.0811
463.0,0.0,463.0,0.0811
464.0,0.0,464.0,0.0811
465.0,0.0,465.0,0.0579
466.0,0.0,466.0,0.0579
467.0,0.0,467.0,0.0579
468.0,0.0,468.0,0.0811
469.0,0.0,469.0,0.0695
470.0,0.0,470.0,0.0463
471.0,0.0,471.0,0.0463
472.0,0.0,472.0,0.0232
473.0,0.0,473.0,0.0348
474.0,0.0,474.0,0.0348
475.0,0.521,475.0,0.0348
476.0,0.0,476.0,0.0579
477.0,0.0,477.0,0.0579
478.0,0.0,478.0,0.0579
479.0,0.0,479.0,0.0579
480.0,0.0,480.0,0.0579
481.0,0.0,481.0,0.0579
482.0,0.0,482.0,0.0579
483.0,0.0,483.0,0.0463
484.0,0.0,484.0,0.0811
485.0,0.0,485.0,0.0116
486.0,0.0,486.0,0.0
487.0,0.0,487.0,0.0
488.0,0.0,488.0,0.0
489.0,0.0,489.0,0.0
490.0,0.0,490.0,0.0
491.0,0.521,491.0,0.0
492.0,0.0,492.0,0.0
493.0,0.0,493.0,0.0
494.0,0.0,494.0,0.0
495.0,0.0,495.0,0.0
496.0,0.0,496.0,0.0
497.0,0.0,497.0,0.0
498.0,0.0,498.0,0.0
499.0,0.521,499.0,0.0116
500.0,0.0,500.0,0.0
501.0,0.0,501.0,0.0463
502.0,0.0,502.0,0.0
503.0,0.0,503.0,0.0
504.0,0.0,504.0,0.0
505.0,0.0,505.0,0.0
506.0,0.0,506.0,0.0
507.0,0.0,507.0,0.0
508.0,0.0,508.0,0.0
509.0,0.0,509.0,0.0
510.0,0.0,510.0,0.0
511.0,0.0,511.0,0.0
512.0,0.0,512.0,0.0232
513.0,0.0,513.0,0.0
514.0,0.0,514.0,0.0232
515.0,0.0,515.0,1.11
516.0,0.0,516.0,0.174
517.0,0.0,517.0,0.162
518.0,0.0,518.0,0.127
519.0,0.0,519.0,0.116
520.0,0.0,520.0,0.139
521.0,0.0,521.0,0.174
522.0,0.0,522.0,0.22
523.0,1.04,523.0,0.0
524.0,0.521,524.0,0.0
525.0,0.0,525.0,0.0
526.0,0.521,526.0,0.0
527.0,0.521,527.0,0.0463
528.0,0.0,528.0,0.0
529.0,0.0,529.0,0.0
530.0,0.0,530.0,0.0
531.0,0.0,531.0,0.0
532.0,0.0,532.0,0.0
533.0,0.0,533.0,0.0
534.0,0.0,534.0,0.0
535.0,0.0,535.0,0.0
536.0,0.0,536.0,0.0
537.0,0.0,537.0,0.0
538.0,0.0,538.0,0.0579
539.0,0.0,539.0,0.0348
540.0,0.0,540.0,0.0348
541.0,0.0,541.0,0.0348
542.0,0.0,542.0,0.0348
543.0,0.0,543.0,0.0232
544.0,0.0,544.0,0.0348
545.0,0.0,545.0,0.0348
546.0,0.0,546.0,0.0463
547.0,0.0,547.0,0.104
548.0,0.0,548.0,0.0579
549.0,0.0,549.0,0.0579
550.0,0.0,550.0,0.0579
551.0,0.0,551.0,0.0579
552.0,0.0,552.0,0.0579
553.0,0.0,553.0,0.0927
554.0,0.0,554.0,0.127
555.0,0.0,555.0,0.162
556.0,0.0,556.0,0.0695
557.0,0.0,557.0,0.0
558.0,0.0,558.0,0.0
559.0,0.0,559.0,0.0
560.0,0.521,560.0,0.0
561.0,0.521,561.0,0.0463
562.0,0.0,562.0,0.0463
563.0,0.0,563.0,0.104
564.0,0.0,564.0,0.116
565.0,0.0,565.0,0.116
566.0,0.521,566.0,0.139
567.0,0.0,567.0,0.104
568.0,0.0,568.0,0.0927
569.0,0.0,569.0,0.0463
570.0,0.0,570.0,0.0232
571.0,0.0,571.0,0.0116
572.0,0.0,572.0,0.0232
573.0,0.0,573.0,0.0116
574.0,0.0,574.0,0.0116
575.0,0.0,575.0,0.0116
576.0,0.0,576.0,0.0116
577.0,0.0,577.0,0.0
578.0,0.0,578.0,0.0232
579.0,0.0,579.0,0.0232
580.0,0.0,580.0,0.0
581.0,0.0,581.0,0.0
582.0,0.0,582.0,0.0
583.0,0.0,583.0,0.0
584.0,0.0,584.0,0.0
585.0,0.0,585.0,0.0
586.0,0.0,586.0,0.0
587.0,0.0,587.0,0.0
588.0,0.521,588.0,0.0
589.0,0.0,589.0,0.0
590.0,0.0,590.0,0.0
591.0,0.0,591.0,0.0
592.0,0.0,592.0,0.0
593.0,0.0,593.0,0.0
594.0,0.0,594.0,0.0348
595.0,0.0,595.0,0.0116
596.0,0.0,596.0,0.0116
597.0,0.0,597.0,0.174
598.0,0.0,598.0,0.151
599.0,0.0,599.0,0.127
600.0,0.0,600.0,0.151
601.0,0.0,601.0,0.0927
602.0,0.0,602.0,0.104
603.0,0.0,603.0,0.116
604.0,0.0,604.0,0.0695
605.0,0.0,605.0,0.0463
606.0,0.0,606.0,0.0463
607.0,0.0,607.0,0.0116
608.0,0.0,608.0,0.0232
609.0,0.0,609.0,0.0116
610.0,0.0,610.0,0.0
611.0,0.0,611.0,0.0116
612.0,0.0,612.0,0.0116
613.0,0.0,613.0,0.0116
614.0,0.521,614.0,0.0116
615.0,0.0,615.0,0.0
616.0,0.0,616.0,0.0232
617.0,0.0,617.0,0.0
618.0,0.0,618.0,0.0348
619.0,0.0,619.0,0.0
620.0,0.0,620.0,0.0
621.0,0.521,621.0,0.0
622.0,0.0,622.0,0.0
623.0,0.0,623.0,0.0
624.0,0.0,624.0,0.0
625.0,0.0,625.0,0.0
626.0,0.0,626.0,0.0
627.0,0.0,627.0,0.0
628.0,0.0,628.0,0.0
629.0,0.0,629.0,0.0463
630.0,0.0,630.0,0.0
631.0,0.0,631.0,0.0116
632.0,0.0,632.0,0.301
633.0,0.0,633.0,0.127
634.0,0.0,634.0,0.127
635.0,0.0,635.0,0.127
636.0,0.0,636.0,0.116
637.0,0.0,637.0,0.116
638.0,0.0,638.0,0.0927
639.0,0.0,639.0,0.0811
640.0,0.0,640.0,0.0811
641.0,0.0,641.0,0.0927
642.0,0.0,642.0,0.0927
643.0,0.0,643.0,0.0927
644.0,0.0,644.0,0.0811
645.0,0.0,645.0,0.104
646.0,0.0,646.0,0.0811
647.0,0.521,647.0,0.0811
648.0,0.0,648.0,0.0811
649.0,0.521,649.0,0.0463
650.0,0.521,650.0,0.0463
651.0,0.521,651.0,0.0463
652.0,0.0,652.0,0.0232
653.0,0.0,653.0,0.0
654.0,0.0,654.0,0.0
655.0,0.0,655.0,0.0
656.0,0.0,656.0,0.0
657.0,0.0,657.0,0.0
658.0,0.0,658.0,0.0
659.0,0.0,659.0,0.0
660.0,0.0,660.0,0.0
661.0,0.0,661.0,0.0
662.0,0.0,662.0,0.0
663.0,0.0,663.0,0.0
664.0,0.0,664.0,0.0
665.0,0.0,665.0,0.0
666.0,0.0,666.0,0.0
667.0,0.0,667.0,0.0
668.0,0.0,668.0,0.0
669.0,0.0,669.0,0.0116
670.0,0.0,670.0,0.0348
671.0,0.0,671.0,0.0
672.0,0.0,672.0,0.0
673.0,0.0,673.0,0.0
674.0,0.0,674.0,0.0
675.0,0.0,675.0,0.0
676.0,0.0,676.0,0.0
677.0,0.0,677.0,0.0
678.0,0.0,678.0,0.0116
679.0,0.0,679.0,0.0579
680.0,0.0,680.0,0.0695
681.0,0.0,681.0,0.0811
682.0,0.0,682.0,0.116
683.0,0.0,683.0,0.127
684.0,0.0,684.0,0.197
685.0,0.0,685.0,0.29
686.0,0.0,686.0,0.324
687.0,0.0,687.0,0.209
688.0,0.0,688.0,0.116
689.0,0.0,689.0,0.151
690.0,0.0,690.0,0.151
691.0,0.0,691.0,0.151
692.0,0.0,692.0,0.127
693.0,0.0,693.0,0.0
694.0,0.0,694.0,0.0
695.0,1.04,695.0,0.0
696.0,1.04,696.0,0.0
697.0,0.521,697.0,0.0
698.0,0.0,698.0,0.0
699.0,0.0,699.0,0.0
700.0,0.0,700.0,0.0
701.0,0.0,701.0,0.0
702.0,0.0,702.0,0.0
703.0,0.0,703.0,0.0
704.0,0.0,704.0,0.0
705.0,0.0,705.0,0.0463
706.0,0.0,706.0,0.0
707.0,0.0,707.0,0.0
708.0,0.0,708.0,0.0
709.0,0.0,709.0,0.0
710.0,0.0,710.0,0.0
711.0,0.0,711.0,0.0
712.0,0.0,712.0,0.0
713.0,0.0,713.0,0.0
714.0,0.0,714.0,0.0
715.0,0.0,715.0,0.0
716.0,0.0,716.0,0.0
717.0,0.0,717.0,0.0
718.0,0.0,718.0,0.0
719.0,0.0,719.0,0.0
720.0,0.0,720.0,0.0
721.0,0.0,721.0,0.0
722.0,0.0,722.0,0.0348
723.0,0.0,723.0,0.22
724.0,0.0,724.0,0.29
725.0,0.0,725.0,0.394
726.0,0.0,726.0,0.417
727.0,0.0,727.0,0.405
728.0,0.0,728.0,0.533
729.0,0.0,729.0,0.324
730.0,0.0,730.0,0.0463
731.0,0.521,731.0,0.0
732.0,0.0,732.0,0.0
733.0,0.521,733.0,0.0
734.0,0.521,734.0,0.0
735.0,0.521,735.0,0.0
736.0,0.521,736.0,0.0463
737.0,0.0,737.0,0.0
738.0,0.0,738.0,0.0
739.0,0.0,739.0,0.0
740.0,0.0,740.0,0.0
741.0,0.0,741.0,0.0
742.0,0.0,742.0,0.0
743.0,0.0,743.0,0.0
744.0,0.0,744.0,0.0
745.0,0.0,745.0,0.0
746.0,0.0,746.0,0.0
747.0,0.0,747.0,0.0
748.0,0.0,748.0,0.0
749.0,0.0,749.0,0.0
750.0,0.0,750.0,0.0
751.0,0.0,751.0,0.0
752.0,0.0,752.0,0.0116
753.0,0.0,753.0,0.0811
754.0,0.0,754.0,0.0463
755.0,0.0,755.0,0.0348
756.0,0.0,756.0,0.0579
757.0,0.0,757.0,0.0579
758.0,0.0,758.0,0.0348
759.0,0.0,759.0,0.0348
760.0,0.0,760.0,0.0116
761.0,0.0,761.0,0.0
762.0,0.0,762.0,0.0
763.0,0.0,763.0,0.0
764.0,0.0,764.0,0.0
765.0,0.0,765.0,0.0
766.0,0.0,766.0,0.0
767.0,0.0,767.0,0.0
768.0,0.0,768.0,0.0
769.0,0.0,769.0,0.0
770.0,0.0,770.0,0.0
771.0,0.0,771.0,0.0
772.0,0.0,772.0,0.0
773.0,0.0,773.0,0.0
774.0,0.0,774.0,0.0
775.0,0.0,775.0,0.0
776.0,0.0,776.0,0.104
777.0,0.0,777.0,0.0
778.0,0.0,778.0,0.0
779.0,0.0,779.0,0.0
780.0,0.0,780.0,0.0
781.0,0.0,781.0,0.0
782.0,0.0,782.0,0.0
783.0,0.0,783.0,0.0
784.0,0.0,784.0,0.0
785.0,0.0,785.0,0.0232
786.0,0.0,786.0,0.336
787.0,0.0,787.0,0.579
788.0,0.0,788.0,0.66
789.0,0.0,789.0,0.104
790.0,0.0,790.0,0.116
791.0,0.0,791.0,0.255
792.0,0.0,792.0,0.243
793.0,0.0,793.0,0.104
794.0,0.0,794.0,0.185
795.0,0.0,795.0,0.104
796.0,1.04,796.0,0.0
797.0,0.0,797.0,0.0
798.0,0.0,798.0,0.0
799.0,0.0,799.0,0.0
800.0,0.0,800.0,0.0
801.0,0.521,801.0,0.0
802.0,0.0,802.0,0.0
803.0,0.0,803.0,0.0
804.0,0.521,804.0,0.0
805.0,1.04,805.0,0.0
806.0,0.0,806.0,0.0
807.0,0.0,807.0,0.0116
808.0,0.0,808.0,0.0348
809.0,0.0,809.0,0.0348
810.0,0.0,810.0,0.0695
811.0,0.0,811.0,0.0579
812.0,0.0,812.0,0.0695
813.0,0.0,813.0,0.0579
814.0,0.0,814.0,0.0579
815.0,0.0,815.0,0.0695
816.0,0.0,816.0,0.0463
817.0,0.0,817.0,0.0579
818.0,0.0,818.0,0.0579
819.0,0.0,819.0,0.0463
820.0,0.0,820.0,0.0232
821.0,0.521,821.0,0.0116
822.0,0.0,822.0,0.0116
823.0,0.0,823.0,0.0232
824.0,0.0,824.0,0.0232
825.0,0.0,825.0,0.0232
826.0,0.0,826.0,0.0
827.0,0.0,827.0,0.0
828.0,0.0,828.0,0.0
829.0,0.0,829.0,0.0
830.0,0.0,830.0,0.0
831.0,0.0,831.0,0.0
832.0,0.0,832.0,0.0
833.0,0.0,833.0,0.0
834.0,0.0,834.0,0.0
835.0,0.0,835.0,0.0
836.0,0.0,836.0,0.0116
837.0,0.0,837.0,0.0348
838.0,0.0,838.0,0.0
839.0,0.0,839.0,0.0
840.0,0.0,840.0,0.0
841.0,0.0,841.0,0.0
842.0,0.521,842.0,0.0
843.0,0.0,843.0,0.0116
844.0,0.0,844.0,0.0579
845.0,0.0,845.0,0.0579
846.0,0.0,846.0,0.0463
847.0,0.0,847.0,0.0348
848.0,0.0,848.0,0.0348
849.0,0.0,849.0,0.0232
850.0,0.0,850.0,0.0348
851.0,0.0,851.0,0.0116
852.0,0.0,852.0,0.0232
