senderTs,senderMbps,receiverTs,receiverMbps
457.0,0.521,457.0,0.0232
458.0,0.0,458.0,0.0232
459.0,0.0,459.0,0.0
460.0,0.0,460.0,0.0579
461.0,0.0,461.0,0.139
462.0,0.0,462.0,0.127
463.0,0.0,463.0,0.127
464.0,0.0,464.0,0.151
465.0,0.0,465.0,0.22
466.0,0.0,466.0,0.162
467.0,0.0,467.0,0.139
468.0,0.0,468.0,0.209
469.0,0.0,469.0,0.0927
470.0,0.521,470.0,0.0811
471.0,0.521,471.0,0.0811
472.0,0.0,472.0,0.127
473.0,0.521,473.0,0.151
474.0,0.521,474.0,0.127
475.0,0.0,475.0,0.0116
476.0,0.0,476.0,0.0
477.0,0.0,477.0,0.0
478.0,0.0,478.0,0.0
479.0,0.0,479.0,0.0
480.0,0.0,480.0,0.0
481.0,0.0,481.0,0.0
482.0,0.0,482.0,0.0116
483.0,0.0,483.0,0.0348
484.0,0.0,484.0,0.0
485.0,0.0,485.0,0.0
486.0,0.0,486.0,0.0
487.0,0.0,487.0,0.0
488.0,0.0,488.0,0.0
489.0,0.0,489.0,0.0232
490.0,0.0,490.0,0.209
491.0,0.0,491.0,0.232
492.0,0.0,492.0,0.197
493.0,0.0,493.0,0.151
494.0,0.0,494.0,0.185
495.0,0.0,495.0,0.185
496.0,0.0,496.0,0.151
497.0,0.521,497.0,0.197
498.0,0.0,498.0,0.209
499.0,0.521,499.0,0.197
500.0,1.04,500.0,0.197
501.0,0.521,501.0,0.104
502.0,0.0,502.0,0.0463
503.0,0.0,503.0,0.0
504.0,0.0,504.0,0.0
505.0,0.0,505.0,0.0
506.0,0.0,506.0,0.0
507.0,0.0,507.0,0.0
508.0,0.0,508.0,0.0463
509.0,0.0,509.0,0.0
510.0,0.0,510.0,0.0
511.0,0.0,511.0,0.197
512.0,0.0,512.0,0.209
513.0,0.0,513.0,0.139
514.0,0.0,514.0,0.139
515.0,0.0,515.0,0.151
516.0,0.0,516.0,0.151
517.0,0.0,517.0,0.151
518.0,0.0,518.0,0.151
519.0,0.0,519.0,0.185
520.0,0.0,520.0,0.174
521.0,0.0,521.0,0.174
522.0,0.0,522.0,0.151
523.0,0.0,523.0,0.139
524.0,1.04,524.0,0.162
525.0,0.0,525.0,0.116
526.0,0.521,526.0,0.116
527.0,0.0,527.0,0.104
528.0,0.521,528.0,0.116
529.0,0.0,529.0,0.116
530.0,0.521,530.0,0.104
531.0,0.0,531.0,0.0927
532.0,0.0,532.0,0.0811
533.0,0.521,533.0,0.104
534.0,0.0,534.0,0.116
535.0,0.0,535.0,0.0
536.0,0.0,536.0,0.0
537.0,0.0,537.0,0.0
538.0,0.0,538.0,0.0232
539.0,0.0,539.0,0.0232
540.0,0.0,540.0,0.0463
541.0,0.0,541.0,0.22
542.0,0.0,542.0,0.185
543.0,0.0,543.0,0.209
544.0,0.521,544.0,0.174
545.0,0.0,545.0,0.162
546.0,0.0,546.0,0.174
547.0,0.0,547.0,0.151
548.0,0.0,548.0,0.197
549.0,0.0,549.0,0.185
550.0,0.521,550.0,0.162
551.0,0.0,551.0,0.116
552.0,0.521,552.0,0.127
553.0,0.0,553.0,0.162
554.0,0.521,554.0,0.151
555.0,0.521,555.0,0.0811
556.0,0.0,556.0,0.0695
557.0,0.0,557.0,0.0927
558.0,0.0,558.0,0.0232
559.0,0.0,559.0,0.0
560.0,0.0,560.0,0.0
561.0,0.0,561.0,0.0
562.0,0.0,562.0,0.0
563.0,0.0,563.0,0.0
564.0,0.0,564.0,0.0
565.0,0.521,565.0,0.0463
566.0,0.0,566.0,0.0
567.0,0.0,567.0,0.0
568.0,0.0,568.0,0.0
569.0,0.0,569.0,0.0
570.0,0.0,570.0,0.174
571.0,0.0,571.0,0.209
572.0,0.0,572.0,0.209
573.0,0.0,573.0,0.22
574.0,0.0,574.0,0.22
575.0,0.0,575.0,0.255
576.0,0.0,576.0,0.255
577.0,0.521,577.0,0.174
578.0,0.0,578.0,0.185
579.0,0.521,579.0,0.243
580.0,0.521,580.0,0.22
581.0,0.0,581.0,0.174
582.0,0.521,582.0,0.127
583.0,0.0,583.0,0.139
584.0,0.521,584.0,0.127
585.0,0.0,585.0,0.162
586.0,0.521,586.0,0.197
587.0,0.0,587.0,0.0
588.0,0.0,588.0,0.0
589.0,0.0,589.0,0.0
590.0,0.0,590.0,0.0
591.0,0.0,591.0,0.0
592.0,0.0,592.0,0.0
593.0,0.0,593.0,0.0116
594.0,0.0,594.0,0.0348
595.0,0.0,595.0,0.0
596.0,0.0,596.0,0.0
597.0,0.0,597.0,0.0
598.0,0.0,598.0,0.0
599.0,0.0,599.0,0.243
600.0,0.0,600.0,0.336
601.0,0.0,601.0,0.313
602.0,0.0,602.0,0.301
603.0,0.0,603.0,0.278
604.0,0.0,604.0,0.232
605.0,0.521,605.0,0.243
606.0,0.0,606.0,0.301
607.0,0.521,607.0,0.301
608.0,0.521,608.0,0.197
609.0,0.0,609.0,0.197
610.0,0.0,610.0,0.174
611.0,0.521,611.0,0.197
612.0,0.0,612.0,0.209
613.0,0.521,613.0,0.209
614.0,0.0,614.0,0.22
615.0,0.521,615.0,0.174
616.0,0.0,616.0,0.174
617.0,0.0,617.0,0.162
618.0,0.0,618.0,0.174
619.0,0.0,619.0,0.139
620.0,0.521,620.0,0.139
621.0,0.521,621.0,0.162
622.0,0.0,622.0,0.162
623.0,0.521,623.0,0.162
624.0,0.0,624.0,0.116
625.0,0.0,625.0,0.0
626.0,0.521,626.0,0.0
627.0,0.0,627.0,0.0
628.0,0.0,628.0,0.0
629.0,0.0,629.0,0.0
630.0,0.0,630.0,0.0
631.0,0.0,631.0,0.0
632.0,0.0,632.0,0.0
633.0,0.0,633.0,0.0
634.0,0.0,634.0,0.0
635.0,0.0,635.0,0.0927
636.0,0.521,636.0,0.0
637.0,0.0,637.0,0.66
638.0,0.0,638.0,0.324
639.0,0.0,639.0,0.301
640.0,0.0,640.0,0.255
641.0,0.0,641.0,0.197
642.0,0.0,642.0,0.162
643.0,0.0,643.0,0.162
644.0,0.0,644.0,0.174
645.0,0.0,645.0,0.185
646.0,0.0,646.0,0.127
647.0,0.0,647.0,0.104
648.0,0.0,648.0,0.162
649.0,0.0,649.0,0.174
650.0,0.521,650.0,0.127
651.0,0.0,651.0,0.104
652.0,0.521,652.0,0.116
653.0,0.521,653.0,0.104
654.0,0.0,654.0,0.0463
655.0,0.521,655.0,0.0463
656.0,0.521,656.0,0.0463
657.0,0.521,657.0,0.0463
658.0,0.521,658.0,0.0
659.0,0.0,659.0,0.0
660.0,0.0,660.0,0.0
661.0,0.0,661.0,0.0
662.0,0.0,662.0,0.0
663.0,0.0,663.0,0.0116
664.0,0.0,664.0,0.151
665.0,0.0,665.0,0.278
666.0,0.0,666.0,0.197
667.0,0.0,667.0,0.197
668.0,0.521,668.0,0.209
669.0,0.0,669.0,0.151
670.0,0.0,670.0,0.116
671.0,0.521,671.0,0.139
672.0,0.0,672.0,0.0927
673.0,0.0,673.0,0.0927
674.0,0.0,674.0,0.174
675.0,1.04,675.0,0.382
676.0,0.0,676.0,0.104
677.0,0.0,677.0,0.127
678.0,0.0,678.0,0.232
679.0,0.521,679.0,0.324
680.0,0.0,680.0,0.255
681.0,0.0,681.0,0.266
682.0,0.521,682.0,0.278
683.0,0.0,683.0,0.266
684.0,0.0,684.0,0.278
685.0,0.521,685.0,0.232
686.0,0.0,686.0,0.127
687.0,0.521,687.0,0.0
688.0,0.0,688.0,0.0
689.0,0.0,689.0,0.0116
690.0,0.521,690.0,0.0348
691.0,0.0,691.0,0.0
692.0,0.0,692.0,0.0
693.0,0.0,693.0,0.0
694.0,0.0,694.0,0.0
695.0,0.0,695.0,0.0463
696.0,0.0,696.0,0.174
697.0,0.0,697.0,0.174
698.0,0.0,698.0,0.162
699.0,0.0,699.0,0.151
700.0,0.0,700.0,0.151
701.0,0.0,701.0,0.162
702.0,0.0,702.0,0.151
703.0,0.0,703.0,0.139
704.0,0.0,704.0,0.116
705.0,0.0,705.0,0.104
706.0,0.0,706.0,0.139
707.0,0.0,707.0,0.0927
708.0,0.521,708.0,0.0348
709.0,0.521,709.0,0.151
710.0,0.521,710.0,0.116
711.0,0.0,711.0,0.104
712.0,0.0,712.0,0.0811
713.0,0.521,713.0,0.0579
714.0,0.0,714.0,0.0811
715.0,0.0,715.0,0.174
716.0,0.521,716.0,0.0
717.0,0.0,717.0,0.0116
718.0,0.0,718.0,0.116
719.0,0.0,719.0,0.359
720.0,0.521,720.0,0.544
721.0,0.521,721.0,0.44
722.0,0.0,722.0,0.22
723.0,0.521,723.0,0.162
724.0,0.0,724.0,0.139
725.0,0.0,725.0,0.0927
726.0,0.0,726.0,0.104
727.0,0.521,727.0,0.0927
728.0,0.0,728.0,0.0695
729.0,0.0,729.0,0.0695
730.0,0.0,730.0,0.0811
731.0,0.0,731.0,0.0348
732.0,0.0,732.0,0.0579
733.0,0.521,733.0,0.0348
734.0,0.0,734.0,0.0463
735.0,0.0,735.0,0.0463
736.0,0.0,736.0,0.0
737.0,0.0,737.0,0.0
738.0,0.0,738.0,0.0
739.0,0.0,739.0,0.0463
740.0,0.0,740.0,0.0927
741.0,0.0,741.0,0.348
742.0,0.0,742.0,0.359
743.0,0.0,743.0,0.336
744.0,0.0,744.0,0.324
745.0,0.521,745.0,0.348
746.0,0.0,746.0,0.405
747.0,0.521,747.0,0.22
748.0,0.521,748.0,0.255
749.0,0.0,749.0,0.162
750.0,0.0,750.0,0.151
751.0,0.521,751.0,0.139
752.0,0.521,752.0,0.104
753.0,0.0,753.0,0.104
754.0,0.0,754.0,0.0927
755.0,0.521,755.0,0.0927
756.0,0.0,756.0,0.0927
757.0,0.0,757.0,0.0811
758.0,0.521,758.0,0.0927
759.0,0.0,759.0,0.0811
760.0,0.0,760.0,0.0579
761.0,0.0,761.0,0.0348
762.0,0.521,762.0,0.0811
763.0,0.0,763.0,0.0
764.0,0.0,764.0,0.0
765.0,0.0,765.0,0.0
766.0,0.0,766.0,0.0
767.0,0.0,767.0,0.0
768.0,0.0,768.0,0.0
769.0,0.0,769.0,0.0
770.0,0.0,770.0,0.0
771.0,0.0,771.0,0.0
772.0,0.0,772.0,0.0
773.0,0.0,773.0,0.0463
774.0,0.0,774.0,0.0
775.0,0.0,775.0,0.0
776.0,0.0,776.0,0.104
777.0,0.0,777.0,0.417
778.0,0.0,778.0,0.371
779.0,0.0,779.0,0.243
780.0,0.0,780.0,0.243
781.0,0.0,781.0,0.232
782.0,0.0,782.0,0.278
783.0,0.0,783.0,0.278
784.0,0.0,784.0,0.232
785.0,0.0,785.0,0.255
786.0,0.0,786.0,0.243
787.0,0.0,787.0,0.255
788.0,0.0,788.0,0.313
789.0,0.521,789.0,0.405
790.0,0.521,790.0,0.209
791.0,1.56,791.0,0.197
792.0,1.56,792.0,0.22
793.0,0.0,793.0,0.232
794.0,0.521,794.0,0.0579
795.0,0.0,795.0,0.0116
796.0,0.0,796.0,0.0348
797.0,0.0,797.0,0.185
798.0,0.0,798.0,0.185
799.0,0.0,799.0,0.185
800.0,0.0,800.0,0.139
801.0,0.0,801.0,0.116
802.0,0.0,802.0,0.116
803.0,0.521,803.0,0.127
804.0,0.0,804.0,0.104
805.0,0.0,805.0,0.127
806.0,0.0,806.0,0.151
807.0,0.521,807.0,0.0695
808.0,0.0,808.0,0.0463
809.0,0.0,809.0,0.0463
810.0,0.0,810.0,0.0811
811.0,0.521,811.0,0.116
812.0,0.0,812.0,0.139
813.0,0.521,813.0,0.278
814.0,0.521,814.0,0.0811
815.0,0.0,815.0,0.0
816.0,0.0,816.0,0.0
817.0,0.0,817.0,0.0
818.0,0.0,818.0,0.0
819.0,0.0,819.0,0.0
820.0,0.0,820.0,0.0116
821.0,0.0,821.0,0.0348
822.0,0.0,822.0,0.0
823.0,0.0,823.0,0.0
824.0,0.0,824.0,0.0
825.0,0.0,825.0,0.0
826.0,0.0,826.0,0.0
827.0,0.0,827.0,0.0
828.0,0.0,828.0,0.0
829.0,0.0,829.0,0.0811
830.0,0.0,830.0,0.151
831.0,0.0,831.0,0.197
832.0,0.0,832.0,0.266
833.0,0.0,833.0,0.29
834.0,0.0,834.0,0.22
835.0,0.0,835.0,0.278
836.0,0.0,836.0,0.533
837.0,0.0,837.0,0.776
838.0,1.56,838.0,0.51
839.0,1.56,839.0,0.0232
840.0,0.0,840.0,0.0
841.0,0.0,841.0,0.0
842.0,0.0,842.0,0.0116
843.0,0.0,843.0,0.0348
844.0,0.0,844.0,0.0116
845.0,0.0,845.0,0.266
846.0,0.0,846.0,0.348
847.0,0.0,847.0,0.232
848.0,0.0,848.0,0.174
849.0,0.0,849.0,0.174
850.0,0.521,850.0,0.174
851.0,0.0,851.0,0.174
852.0,0.0,852.0,0.162
853.0,0.0,853.0,0.151
854.0,0.0,854.0,0.127
855.0,0.521,855.0,0.127
856.0,0.0,856.0,0.127
857.0,0.521,857.0,0.139
858.0,0.0,858.0,0.185
859.0,0.521,859.0,0.174
860.0,0.521,860.0,0.197
861.0,0.0,861.0,0.151
862.0,0.521,862.0,0.139
