senderTs,senderMbps,receiverTs,receiverMbps
191.0,0.521,191.0,0.278
192.0,0.521,192.0,0.0348
193.0,0.521,193.0,0.0
194.0,0.0,194.0,0.0
195.0,0.0,195.0,0.0
196.0,0.0,196.0,0.0
197.0,0.0,197.0,0.0463
198.0,0.0,198.0,0.0
199.0,0.0,199.0,0.0
200.0,0.0,200.0,0.0
201.0,0.0,201.0,0.0
202.0,0.0,202.0,0.0
203.0,0.0,203.0,0.197
204.0,0.0,204.0,0.405
205.0,0.0,205.0,0.394
206.0,0.0,206.0,0.209
207.0,0.0,207.0,0.185
208.0,0.0,208.0,0.174
209.0,0.0,209.0,0.162
210.0,0.0,210.0,0.174
211.0,0.0,211.0,0.174
212.0,0.521,212.0,0.209
213.0,0.0,213.0,0.22
214.0,0.521,214.0,0.197
215.0,0.521,215.0,0.0811
216.0,0.521,216.0,0.0
217.0,0.521,217.0,0.0
218.0,0.0,218.0,0.0
219.0,0.0,219.0,0.0
220.0,0.0,220.0,0.0
221.0,0.0,221.0,0.0
222.0,0.0,222.0,0.0
223.0,0.0,223.0,0.0463
224.0,0.0,224.0,0.0
225.0,0.0,225.0,0.0
226.0,0.0,226.0,0.0
227.0,0.0,227.0,0.0
228.0,0.0,228.0,0.0
229.0,0.0,229.0,0.0
230.0,0.0,230.0,0.278
231.0,0.0,231.0,0.255
232.0,0.0,232.0,0.29
233.0,0.0,233.0,0.29
234.0,0.0,234.0,0.232
235.0,0.0,235.0,0.243
236.0,0.0,236.0,0.475
237.0,0.0,237.0,0.429
238.0,0.0,238.0,0.44
239.0,0.521,239.0,0.0
240.0,1.04,240.0,0.0
241.0,0.0,241.0,0.0
242.0,1.04,242.0,0.0
243.0,0.521,243.0,0.0
244.0,0.0,244.0,0.0463
245.0,0.0,245.0,0.0
246.0,0.0,246.0,0.0
247.0,0.0,247.0,0.0
248.0,0.0,248.0,0.0
249.0,0.0,249.0,0.0
250.0,0.0,250.0,0.0463
251.0,0.0,251.0,0.185
252.0,0.0,252.0,0.209
253.0,0.0,253.0,0.162
254.0,0.0,254.0,0.185
255.0,0.0,255.0,0.151
256.0,0.0,256.0,0.162
257.0,0.0,257.0,0.174
258.0,0.0,258.0,0.174
259.0,0.0,259.0,0.197
260.0,0.0,260.0,0.22
261.0,0.0,261.0,0.232
262.0,0.0,262.0,0.232
263.0,0.0,263.0,0.243
264.0,0.0,264.0,0.266
265.0,0.521,265.0,0.313
266.0,0.0,266.0,0.313
267.0,0.521,267.0,0.371
268.0,0.521,268.0,0.394
269.0,0.521,269.0,0.51
270.0,1.04,270.0,0.313
271.0,0.521,271.0,0.0
272.0,1.04,272.0,0.0
273.0,0.521,273.0,0.0
274.0,0.0,274.0,0.0463
275.0,0.0,275.0,0.0
276.0,0.0,276.0,0.0
277.0,0.0,277.0,0.0
278.0,0.0,278.0,0.0348
279.0,0.0,279.0,0.22
280.0,0.0,280.0,0.417
281.0,0.0,281.0,0.266
282.0,0.0,282.0,0.197
283.0,0.0,283.0,0.232
284.0,0.0,284.0,0.232
285.0,0.0,285.0,0.232
286.0,0.0,286.0,0.185
287.0,0.521,287.0,0.197
288.0,0.521,288.0,0.151
289.0,0.0,289.0,0.162
290.0,0.521,290.0,0.174
291.0,0.0,291.0,0.127
292.0,0.521,292.0,0.0
293.0,0.521,293.0,0.0
294.0,0.0,294.0,0.0
295.0,0.0,295.0,0.0
296.0,0.0,296.0,0.0
297.0,0.0,297.0,0.0
298.0,0.0,298.0,0.0463
299.0,0.0,299.0,0.0
300.0,0.0,300.0,0.0
301.0,0.0,301.0,0.0
302.0,0.0,302.0,0.0
303.0,0.0,303.0,0.116
304.0,0.0,304.0,0.22
305.0,0.0,305.0,0.22
306.0,0.0,306.0,0.209
307.0,0.0,307.0,0.22
308.0,0.0,308.0,0.22
309.0,0.521,309.0,0.209
310.0,0.0,310.0,0.209
311.0,0.0,311.0,0.22
312.0,0.521,312.0,0.162
313.0,0.0,313.0,0.151
314.0,0.0,314.0,0.162
315.0,0.0,315.0,0.151
316.0,0.0,316.0,0.151
317.0,0.0,317.0,0.151
318.0,0.0,318.0,0.139
319.0,0.521,319.0,0.174
320.0,0.0,320.0,0.209
321.0,0.0,321.0,0.185
322.0,0.521,322.0,0.22
323.0,0.0,323.0,0.22
324.0,0.521,324.0,0.22
325.0,0.0,325.0,0.22
326.0,0.521,326.0,0.197
327.0,0.521,327.0,0.0579
328.0,0.0,328.0,0.0
329.0,0.521,329.0,0.0
330.0,0.0,330.0,0.0
331.0,0.521,331.0,0.0
332.0,0.0,332.0,0.0
333.0,0.0,333.0,0.0
334.0,0.0,334.0,0.0
335.0,0.0,335.0,0.0
336.0,0.0,336.0,0.0
337.0,0.0,337.0,0.0
338.0,0.0,338.0,0.0
339.0,0.0,339.0,0.0116
340.0,0.0,340.0,0.0348
341.0,0.0,341.0,0.0
342.0,0.0,342.0,0.0
343.0,0.0,343.0,0.0
344.0,0.0,344.0,0.0
345.0,0.0,345.0,0.0
346.0,0.0,346.0,0.0
347.0,0.0,347.0,0.0116
348.0,0.0,348.0,0.22
349.0,0.0,349.0,0.209
350.0,0.0,350.0,0.209
351.0,0.0,351.0,0.197
352.0,0.0,352.0,0.174
353.0,0.0,353.0,0.151
354.0,0.0,354.0,0.197
355.0,0.0,355.0,0.22
356.0,0.0,356.0,0.22
357.0,0.0,357.0,0.185
358.0,0.521,358.0,0.197
359.0,0.0,359.0,0.243
360.0,0.521,360.0,0.278
361.0,1.04,361.0,0.0695
362.0,0.521,362.0,0.0
363.0,0.0,363.0,0.0
364.0,0.0,364.0,0.0
365.0,0.0,365.0,0.0
366.0,0.0,366.0,0.0
367.0,0.0,367.0,0.0
368.0,0.0,368.0,0.0
369.0,0.0,369.0,0.0
370.0,0.0,370.0,0.0
371.0,0.0,371.0,0.0232
372.0,0.521,372.0,0.0232
373.0,0.0,373.0,0.0
374.0,0.0,374.0,0.0
375.0,0.0,375.0,0.0
376.0,0.0,376.0,0.0
377.0,0.0,377.0,0.0
378.0,0.0,378.0,0.0
379.0,0.0,379.0,0.0
380.0,0.0,380.0,0.0
381.0,0.0,381.0,0.0
382.0,0.0,382.0,0.0
383.0,0.0,383.0,0.0
384.0,0.0,384.0,0.0
385.0,0.0,385.0,0.0
386.0,0.0,386.0,0.0
387.0,0.0,387.0,0.0
388.0,0.0,388.0,0.0
389.0,0.0,389.0,0.0
390.0,0.0,390.0,0.0
391.0,0.0,391.0,0.0
392.0,0.0,392.0,0.0
393.0,0.0,393.0,0.0348
394.0,0.0,394.0,0.0
395.0,0.0,395.0,0.0
396.0,0.0,396.0,0.0
397.0,0.0,397.0,0.0
398.0,0.0,398.0,0.0
399.0,0.0,399.0,0.0
400.0,0.0,400.0,0.151
401.0,0.0,401.0,0.185
402.0,0.0,402.0,0.185
403.0,0.0,403.0,0.162
404.0,0.0,404.0,0.174
405.0,0.0,405.0,0.151
406.0,0.0,406.0,0.162
407.0,0.0,407.0,0.162
408.0,0.0,408.0,0.185
409.0,0.0,409.0,0.197
410.0,0.0,410.0,0.185
411.0,0.0,411.0,0.162
412.0,0.0,412.0,0.162
413.0,0.0,413.0,0.162
414.0,0.0,414.0,0.162
415.0,0.521,415.0,0.151
416.0,0.521,416.0,0.162
417.0,0.521,417.0,0.162
418.0,0.0,418.0,0.151
419.0,0.521,419.0,0.174
420.0,0.521,420.0,0.174
421.0,0.0,421.0,0.162
422.0,0.521,422.0,0.151
423.0,0.521,423.0,0.162
424.0,0.0,424.0,0.162
425.0,0.521,425.0,0.0
426.0,0.0,426.0,0.0
427.0,0.0,427.0,0.0
428.0,0.0,428.0,0.0
429.0,0.0,429.0,0.0
430.0,0.0,430.0,0.0
431.0,0.0,431.0,0.0
432.0,0.0,432.0,0.0
433.0,0.0,433.0,0.0
434.0,0.0,434.0,0.0
435.0,0.0,435.0,0.0463
436.0,0.0,436.0,0.0
437.0,0.0,437.0,0.0
438.0,0.0,438.0,0.0
439.0,0.0,439.0,0.0
440.0,0.0,440.0,0.0
441.0,0.0,441.0,0.0
442.0,0.0,442.0,0.0695
443.0,0.0,443.0,0.197
444.0,0.0,444.0,0.174
445.0,0.0,445.0,0.139
446.0,0.0,446.0,0.151
447.0,0.0,447.0,0.151
448.0,0.0,448.0,0.185
449.0,0.0,449.0,0.174
450.0,0.0,450.0,0.174
451.0,0.0,451.0,0.174
452.0,0.0,452.0,0.174
453.0,0.0,453.0,0.174
454.0,0.0,454.0,0.174
455.0,0.0,455.0,0.162
456.0,0.521,456.0,0.174
457.0,0.0,457.0,0.197
458.0,0.0,458.0,0.197
459.0,0.521,459.0,0.185
460.0,0.0,460.0,0.197
461.0,0.0,461.0,0.116
462.0,0.0,462.0,0.0
463.0,0.0,463.0,0.0
464.0,0.0,464.0,0.0
465.0,0.0,465.0,0.0
466.0,0.0,466.0,0.0
467.0,0.0,467.0,0.0
468.0,0.0,468.0,0.0
469.0,0.521,469.0,0.0
470.0,0.0,470.0,0.0
471.0,0.0,471.0,0.0
472.0,0.0,472.0,0.0
473.0,0.0,473.0,0.0232
474.0,0.0,474.0,0.243
475.0,0.0,475.0,0.0
476.0,0.0,476.0,0.0
477.0,0.0,477.0,0.0
478.0,0.521,478.0,0.0
479.0,0.0,479.0,0.0116
480.0,1.04,480.0,0.0811
481.0,0.0,481.0,0.0
482.0,0.0,482.0,0.0
483.0,0.0,483.0,0.0232
484.0,0.0,484.0,0.718
485.0,0.0,485.0,1.75
486.0,0.0,486.0,0.29
487.0,0.0,487.0,0.266
488.0,1.04,488.0,0.255
489.0,1.04,489.0,0.232
490.0,0.0,490.0,0.197
491.0,0.521,491.0,0.162
492.0,0.0,492.0,0.185
493.0,0.521,493.0,0.185
494.0,0.0,494.0,0.185
495.0,0.0,495.0,0.185
496.0,0.0,496.0,0.174
497.0,0.521,497.0,0.185
498.0,0.0,498.0,0.151
499.0,0.0,499.0,0.127
500.0,0.0,500.0,0.151
501.0,0.0,501.0,0.139
502.0,0.521,502.0,0.174
503.0,0.521,503.0,0.174
504.0,0.521,504.0,0.162
505.0,0.521,505.0,0.174
506.0,0.521,506.0,0.162
507.0,0.0,507.0,0.162
508.0,0.521,508.0,0.151
509.0,0.0,509.0,0.151
510.0,0.521,510.0,0.162
511.0,0.0,511.0,0.127
512.0,0.0,512.0,0.0
513.0,0.0,513.0,0.0
514.0,0.0,514.0,0.0
515.0,0.0,515.0,0.0
516.0,0.0,516.0,0.0
517.0,0.0,517.0,0.0
518.0,0.0,518.0,0.0
519.0,0.0,519.0,0.0
520.0,0.0,520.0,0.0463
521.0,0.0,521.0,0.0
522.0,0.0,522.0,0.0
523.0,0.0,523.0,0.0116
524.0,0.0,524.0,0.417
525.0,0.0,525.0,0.336
526.0,0.0,526.0,0.336
527.0,0.0,527.0,0.197
528.0,0.0,528.0,0.197
529.0,0.0,529.0,0.22
530.0,0.0,530.0,0.232
531.0,0.0,531.0,0.22
532.0,0.0,532.0,0.22
533.0,0.0,533.0,0.22
534.0,0.0,534.0,0.185
535.0,0.0,535.0,0.174
536.0,0.0,536.0,0.151
537.0,0.0,537.0,0.139
538.0,0.0,538.0,0.139
539.0,0.0,539.0,0.151
540.0,0.0,540.0,0.127
541.0,0.521,541.0,0.162
542.0,1.04,542.0,0.209
543.0,0.521,543.0,0.22
544.0,0.0,544.0,0.22
545.0,0.521,545.0,0.243
546.0,0.521,546.0,0.243
547.0,2.09,547.0,0.22
548.0,0.521,548.0,0.0348
549.0,0.0,549.0,0.0
550.0,0.0,550.0,0.0
551.0,0.0,551.0,0.0
552.0,0.0,552.0,0.0
553.0,0.0,553.0,0.0
554.0,0.0,554.0,0.0
555.0,0.0,555.0,0.0
556.0,0.0,556.0,0.0
557.0,0.0,557.0,0.0
558.0,0.0,558.0,0.0116
559.0,0.0,559.0,0.0
560.0,0.0,560.0,0.0
561.0,0.0,561.0,0.0
562.0,0.0,562.0,0.0
563.0,0.0,563.0,0.0
564.0,0.0,564.0,0.0
565.0,0.0,565.0,0.0
566.0,0.0,566.0,0.0
567.0,0.0,567.0,0.0
568.0,0.0,568.0,0.0
569.0,0.0,569.0,0.0
570.0,0.0,570.0,0.0
571.0,0.0,571.0,0.0
572.0,0.0,572.0,0.0
573.0,0.0,573.0,0.0
574.0,0.0,574.0,0.0
575.0,0.0,575.0,0.0
576.0,0.0,576.0,0.0
577.0,0.0,577.0,0.0
578.0,0.0,578.0,0.0
579.0,0.0,579.0,0.0
580.0,0.0,580.0,0.0
581.0,0.0,581.0,0.0
582.0,0.0,582.0,0.0
583.0,0.0,583.0,0.0
584.0,0.0,584.0,0.0
585.0,0.0,585.0,0.0116
586.0,0.0,586.0,0.0348
587.0,0.0,587.0,0.0
588.0,0.0,588.0,0.0
589.0,0.0,589.0,0.0
590.0,0.0,590.0,0.0
591.0,0.0,591.0,0.151
592.0,2.61,592.0,3.92
593.0,0.0,593.0,0.162
594.0,0.0,594.0,0.174
595.0,0.521,595.0,0.185
596.0,0.0,596.0,0.174
597.0,0.0,597.0,0.174
598.0,0.0,598.0,0.185
599.0,0.521,599.0,0.139
600.0,0.0,600.0,0.139
601.0,0.521,601.0,0.127
602.0,0.0,602.0,0.139
603.0,0.0,603.0,0.127
604.0,0.521,604.0,0.139
605.0,0.0,605.0,0.151
606.0,0.0,606.0,0.162
607.0,0.521,607.0,0.185
608.0,0.0,608.0,0.0
609.0,0.0,609.0,0.0
610.0,0.521,610.0,0.0
611.0,0.0,611.0,0.0
612.0,0.0,612.0,0.0
613.0,0.521,613.0,0.0
614.0,0.0,614.0,0.0
615.0,0.0,615.0,0.0
616.0,0.0,616.0,0.0
617.0,0.0,617.0,0.0
618.0,0.0,618.0,0.0
619.0,0.0,619.0,0.139
620.0,0.0,620.0,0.0
621.0,0.0,621.0,0.0
622.0,0.0,622.0,0.0
623.0,0.0,623.0,0.0
624.0,0.0,624.0,0.0
625.0,0.0,625.0,0.0
626.0,0.0,626.0,0.371
627.0,0.0,627.0,0.174
628.0,0.0,628.0,0.174
629.0,0.0,629.0,0.174
630.0,0.0,630.0,0.266
631.0,0.0,631.0,0.313
632.0,0.521,632.0,0.278
633.0,0.0,633.0,0.266
634.0,0.0,634.0,0.197
635.0,0.521,635.0,0.243
636.0,0.0,636.0,0.232
637.0,0.521,637.0,0.185
638.0,0.0,638.0,0.174
639.0,0.521,639.0,0.185
640.0,0.0,640.0,0.162
641.0,0.521,641.0,0.151
642.0,0.0,642.0,0.151
643.0,0.521,643.0,0.151
644.0,0.521,644.0,0.151
645.0,0.0,645.0,0.151
646.0,0.521,646.0,0.151
647.0,0.0,647.0,0.185
648.0,0.521,648.0,0.0
649.0,0.0,649.0,0.0
650.0,0.0,650.0,0.0
651.0,0.0,651.0,0.0
652.0,0.0,652.0,0.0
653.0,0.0,653.0,0.0
654.0,0.0,654.0,0.0
655.0,0.0,655.0,0.0
656.0,0.0,656.0,0.0
657.0,0.0,657.0,0.0
658.0,0.0,658.0,0.0
659.0,0.0,659.0,0.0
660.0,0.0,660.0,0.0
661.0,0.0,661.0,0.0
662.0,0.0,662.0,0.0
663.0,0.0,663.0,0.0
664.0,0.0,664.0,0.0
665.0,0.0,665.0,0.0
666.0,0.0,666.0,0.0
667.0,0.0,667.0,0.0
668.0,0.0,668.0,0.255
669.0,0.0,669.0,0.278
670.0,0.0,670.0,0.405
671.0,0.0,671.0,0.452
672.0,0.0,672.0,0.382
673.0,0.521,673.0,0.394
674.0,0.521,674.0,0.278
675.0,0.521,675.0,0.405
676.0,0.521,676.0,0.266
677.0,1.04,677.0,0.0
678.0,0.0,678.0,0.0
679.0,0.0,679.0,0.0
680.0,0.0,680.0,0.0
681.0,0.0,681.0,0.0463
682.0,0.0,682.0,0.0
683.0,0.0,683.0,0.0
684.0,0.0,684.0,0.0
685.0,0.0,685.0,0.0
686.0,0.0,686.0,0.104
687.0,0.0,687.0,0.209
688.0,0.0,688.0,0.22
689.0,0.0,689.0,0.197
690.0,0.0,690.0,0.197
691.0,0.0,691.0,0.197
692.0,0.0,692.0,0.185
693.0,0.0,693.0,0.185
694.0,0.0,694.0,0.197
695.0,0.521,695.0,0.232
696.0,0.521,696.0,0.22
697.0,0.521,697.0,0.22
698.0,0.0,698.0,0.243
699.0,0.521,699.0,0.197
700.0,0.521,700.0,0.127
701.0,0.521,701.0,0.0
702.0,0.0,702.0,0.0
703.0,0.0,703.0,0.0
704.0,0.0,704.0,0.0
705.0,0.0,705.0,0.0
706.0,0.0,706.0,0.0
707.0,0.0,707.0,0.0
708.0,0.0,708.0,0.0
709.0,0.0,709.0,0.0463
710.0,0.0,710.0,0.0
711.0,0.0,711.0,0.0
712.0,0.0,712.0,0.0
713.0,0.0,713.0,0.0
714.0,0.0,714.0,0.0
715.0,0.0,715.0,0.0
716.0,0.0,716.0,0.0
717.0,0.0,717.0,0.0
718.0,0.0,718.0,0.0
719.0,0.0,719.0,0.0
720.0,0.0,720.0,0.0348
721.0,0.0,721.0,0.162
722.0,0.0,722.0,0.127
723.0,0.0,723.0,0.0
724.0,0.0,724.0,0.0
725.0,0.0,725.0,0.0
726.0,0.0,726.0,0.0
727.0,0.0,727.0,0.0
728.0,0.0,728.0,0.0
729.0,0.0,729.0,0.0
730.0,0.0,730.0,0.0
731.0,0.0,731.0,0.0
732.0,0.0,732.0,0.0
733.0,0.0,733.0,0.0
734.0,0.0,734.0,0.0
735.0,0.0,735.0,0.0
736.0,0.0,736.0,0.0
737.0,0.0,737.0,0.0
738.0,0.0,738.0,0.0
739.0,0.0,739.0,0.0232
740.0,0.0,740.0,0.0
741.0,0.0,741.0,0.0
742.0,0.0,742.0,0.0695
743.0,0.0,743.0,0.0463
744.0,0.0,744.0,0.0
745.0,0.0,745.0,0.0
746.0,0.0,746.0,0.0
747.0,0.0,747.0,0.0
748.0,0.0,748.0,0.0
749.0,0.0,749.0,0.0348
750.0,0.0,750.0,0.0
751.0,0.0,751.0,0.0
752.0,0.0,752.0,0.602
753.0,0.0,753.0,0.405
754.0,0.0,754.0,0.371
755.0,0.0,755.0,0.278
756.0,0.0,756.0,0.255
757.0,0.0,757.0,0.0
758.0,0.0,758.0,0.0
759.0,0.521,759.0,0.0
760.0,0.0,760.0,0.0
761.0,0.521,761.0,0.0
762.0,0.0,762.0,0.0
763.0,0.521,763.0,0.0
764.0,0.521,764.0,0.0
765.0,0.0,765.0,0.0
766.0,0.0,766.0,0.0
767.0,0.0,767.0,0.0
768.0,0.0,768.0,0.0
769.0,0.0,769.0,0.0
770.0,0.0,770.0,0.0
771.0,0.0,771.0,0.614
772.0,0.0,772.0,0.0
773.0,0.0,773.0,0.0
774.0,0.521,774.0,0.0
775.0,0.0,775.0,0.0
776.0,0.0,776.0,0.0
777.0,0.0,777.0,0.0
778.0,0.0,778.0,0.0116
779.0,0.0,779.0,2.04
780.0,0.0,780.0,0.29
781.0,0.0,781.0,0.29
782.0,0.0,782.0,0.29
783.0,0.0,783.0,0.313
784.0,0.0,784.0,0.278
785.0,0.521,785.0,0.301
786.0,0.521,786.0,0.255
787.0,0.521,787.0,0.185
788.0,0.521,788.0,0.104
789.0,1.04,789.0,0.0
790.0,1.04,790.0,0.0
791.0,0.521,791.0,0.0
792.0,0.0,792.0,0.0
793.0,0.0,793.0,0.0
794.0,0.0,794.0,0.0
795.0,0.0,795.0,0.0
796.0,0.0,796.0,0.0
797.0,0.0,797.0,0.0
798.0,0.0,798.0,0.0116
799.0,0.0,799.0,0.0348
800.0,0.0,800.0,0.0
801.0,0.0,801.0,0.0
802.0,0.0,802.0,0.0
803.0,0.0,803.0,0.0
804.0,0.0,804.0,0.0
805.0,0.0,805.0,0.0
806.0,0.0,806.0,0.0
807.0,0.0,807.0,0.0
808.0,0.0,808.0,0.0
809.0,0.0,809.0,0.0
810.0,0.0,810.0,0.0
811.0,0.0,811.0,0.0348
812.0,0.0,812.0,0.185
813.0,0.0,813.0,0.151
814.0,0.0,814.0,0.0
815.0,0.0,815.0,0.0
816.0,0.0,816.0,0.0
817.0,0.0,817.0,0.0
818.0,0.0,818.0,0.0
819.0,0.0,819.0,0.0
820.0,0.0,820.0,0.0
821.0,0.0,821.0,0.0
822.0,0.0,822.0,0.0
823.0,0.0,823.0,0.0
824.0,0.0,824.0,0.0
825.0,0.0,825.0,0.0
826.0,0.0,826.0,0.0
827.0,0.0,827.0,0.0
828.0,0.0,828.0,0.0
829.0,0.0,829.0,0.0
830.0,0.0,830.0,0.0695
831.0,0.0,831.0,0.151
832.0,0.0,832.0,0.139
833.0,0.0,833.0,0.66
834.0,0.521,834.0,0.938
835.0,1.04,835.0,0.915
836.0,1.04,836.0,0.197
837.0,0.521,837.0,0.151
838.0,0.0,838.0,0.127
839.0,0.0,839.0,0.162
840.0,0.0,840.0,0.162
841.0,0.521,841.0,0.174
842.0,0.0,842.0,0.151
843.0,0.0,843.0,0.162
844.0,0.521,844.0,0.116
845.0,0.0,845.0,0.116
846.0,0.521,846.0,0.0927
847.0,0.0,847.0,0.0927
848.0,0.0,848.0,0.0927
849.0,0.0,849.0,0.0927
850.0,0.521,850.0,0.0811
851.0,0.0,851.0,0.0
852.0,0.0,852.0,0.0
853.0,0.0,853.0,0.0
854.0,0.0,854.0,0.0
855.0,0.0,855.0,0.0
856.0,0.0,856.0,0.0
857.0,0.0,857.0,0.0
858.0,0.0,858.0,0.0
859.0,0.0,859.0,0.0
860.0,0.0,860.0,0.0
861.0,0.0,861.0,0.0
862.0,0.0,862.0,0.0232
863.0,0.0,863.0,0.0
864.0,0.0,864.0,0.0
865.0,0.0,865.0,0.0
